radius area area area 
 218.497 137 6135 4027 
 217.997 2425 6117 4085 
 2251 6040 4059 
 217.997 2404 6006 3909 
 218.497 2278 5812 3933 
 219.995 2314 5864 3764 
 221.494 2485 5717 3828 
 221.494 2347 6037 3754 
 218.997 2224 5999 3821 
 219.494 1934 6305 4008 
 221.494 119 6502 4205 
 219.995 1960 6483 4626 
 218.997 2312 6337 4602 
 219.494 116 6137 4322 
 218.497 2381 5879 4111 
 217.499 1988 5549 3732 
 216.99 2305 5342 3562 
 218.497 154 5246 3301 
 217.997 2132 5114 3164 
 219.995 131 5202 3084 
 218.997 128 4791 3005 
 221.494 2229 5085 2820 
 221.494 163 5058 2879 
 219.494 2233 5082 2743 
 217.499 2293 5047 2793 
 217.499 2527 4986 2715 
 218.497 2528 4928 2647 
 216.492 2622 4946 2711 
 218.997 2412 4808 2489 
 217.997 2622 4785 2534 
 219.494 2266 4835 2395 
 220.497 2364 4791 2458 
 216.99 2551 4627 2223 
 218.497 2638 4495 2225 
 218.497 2562 4593 
 218.497 111 4569 
 220.497 2858 4612 2065 
 219.494 124 4564 2052 
 216.99 2639 4566 875 
 218.997 3013 4527 1840 
 218.497 125 4741 1481 
 217.997 175 4728 2139 
 220.995 2875 4642 2118 
 216.99 2716 4534 1998 
 218.997 136 4571 1067 
 216.99 291 4504 791 
 218.497 2727 4525 1352 
 216.99 2712 4707 1397 
 221.988 113 4611 1133 
 216.99 189 4421 878 
 217.499 2752 4194 744 
 219.494 2233 4230 649 
 220.497 2402 4140 1068 
 219.995 2574 4291 748 
 217.499 2516 4176 583 
 219.995 4466 1027 
 219.494 4591 721 
 218.997 251 4213 784 
 218.497 2397 4505 1826 
 218.497 2748 4348 1012 
 223.986 2408 4512 1316 
 219.995 2501 4674 1023 
 217.997 287 4326 2198 
 216.492 2455 4248 2012 
 221.494 2431 4536 1350 
 220.995 2378 4459 1240 
 218.997 2381 4090 797 
 219.995 1949 4265 743 
 218.997 2201 4110 961 
 220.497 2021 4130 1027 
 217.997 2422 4355 1257 
 220.995 161 4251 1763 
 216.492 2216 4215 1231 
 217.997 2080 4288 2153 
 217.997 2226 4378 1151 
 219 4155 875 
 217.997 2011 4081 912 
 1624 4065 374 
 216.492 2023 3930 1158 
 215.49 2096 4222 1874 
 218.497 2781 4275 1474 
 219.494 2480 4245 2224 
 217.499 2427 4224 1736 
 220.497 116 4546 1806 
 222.492 2701 4522 2470 
 218.497 2706 4399 2420 
 220.497 2468 4206 2145 
 221.988 2318 4431 2146 
 218.497 158 4534 2263 
 215.974 125 4557 2294 
 217.997 2385 4275 2203 
 219.995 2458 4341 2227 
 216.492 196 4627 2221 
 217.997 127 4384 2248 
 217.997 115 4481 2328 
 218.497 119 4538 2448 
 219.494 114 4581 2473 
 215.974 2523 4617 2477 
 216.492 2411 4546 2359 
 219.995 2189 4376 2337 
 219.494 2294 4235 2200 
 215.974 2289 4325 2240 
 218.497 2422 4442 1799 
 2234 4475 2449 
 218.497 2486 4610 2575 
 219.494 157 4699 2621 
 217.997 151 4687 2668 
 217.997 2640 4563 2647 
 219.494 118 4620 2666 
 114 4943 1620 
 219.494 125 4819 2948 
 423.995 178 4811 2938 
 218.997 124 4781 2931 
 222.492 143 4844 2978 
 221.988 177 4818 2806 
 217.997 189 4896 2928 
 219.494 2645 4802 2936 
 218.497 383 4946 2996 
 218.497 130 4812 2973 
 217.997 1922 4965 2977 
 220.497 1977 4913 2771 
 222.997 157 4643 2719 
 221.494 134 4646 2547 
 217.997 197 4528 2504 
 225.999 168 4650 2440 
 219.494 8317 5374 2981 
 224.488 2019 5522 3288 
 223.485 1734 5501 3467 
 224.488 1908 5593 3508 
 219.494 117 5652 3571 
 217.499 2162 5696 3527 
 215.974 12580 5620 3561 
 220.497 2250 5560 3614 
 217.997 1131 5714 3646 
 216.99 139 5937 3663 
 217.499 2068 5911 3971 
 218.997 2234 5799 3839 
 217.997 124 5864 3780 
 219.494 1994 5865 3845 
 219.494 1807 6019 3981 
 219.494 2159 5948 4025 
 224.975 2027 5909 3978 
 216.99 2239 5998 3884 
 218.997 2210 5924 3885 
 219.494 2203 5949 3830 
 215.974 121 5900 3847 
 218.497 2205 5854 3892 
 216.99 2092 5922 3905 
 218.997 1982 6098 3863 
 218.497 2126 6175 4028 
 217.997 2441 6145 4089 
 219.995 1251 6053 4045 
 217.997 2578 6172 3906 
 218.497 2481 5881 3945 
 219.995 2569 5871 3781 
 221.494 2710 5709 3820 
 221.988 111 5987 3761 
 219.494 2501 5897 3813 
 219.995 2158 6301 3992 
 221.494 118 6497 4208 
 219.995 2257 6487 4645 
 219.494 2613 6336 4626 
 219.995 112 6183 4314 
 218.497 2637 5904 4079 
 217.499 2244 5535 3733 
 216.99 2584 5371 3583 
 218.497 144 5252 3261 
 217.997 123 5094 3177 
 219.995 128 5173 3084 
 218.997 179 4805 3001 
 220.995 2327 5055 2827 
 221.494 174 4871 2877 
 219.494 120 5096 2757 
 217.499 2383 5045 2795 
 217.499 2609 4991 2730 
 217.997 2700 4924 2643 
 216.492 2819 4946 2706 
 218.997 2562 4805 2483 
 217.997 2729 4779 2495 
 219.494 149 4841 2426 
 220.497 2373 4788 2454 
 216.99 113 4613 2210 
 218.497 2619 4488 2226 
 218.497 2461 4609 2108 
 218.497 120 4583 2119 
 220.497 115 4610 2064 
 219.494 126 4560 2035 
 216.99 2468 4569 874 
 218.997 2696 4560 1869 
 218.497 248 4770 1475 
 217.997 320 4712 2127 
 220.995 2492 4661 2124 
 216.99 2399 4579 2003 
 219.494 140 4594 1067 
 216.99 296 4461 811 
 218.497 2493 4554 1294 
 217.499 2369 4682 1394 
 221.988 2316 4595 1149 
 216.99 197 4454 876 
 217.499 2521 4179 742 
 219.494 2040 4217 652 
 220.497 2265 4130 844 
 219.494 2462 4251 758 
 217.499 2372 4170 588 
 219.995 2301 4498 895 
 218.997 2564 4576 720 
 218.997 245 4213 797 
 218.497 2310 4486 1824 
 218.497 2758 4340 2151 
 223.986 2462 4485 1327 
 219.995 2548 4676 1781 
 217.997 279 4456 2185 
 216.492 2522 4247 1340 
 221.494 2506 4517 1349 
 220.497 2445 4481 1263 
 218.997 2449 4093 798 
 219.995 2109 4272 738 
 218.997 111 4102 1002 
 220.497 2171 4152 1658 
 217.997 2552 4353 1241 
 220.995 158 4248 1774 
 216.492 2313 4215 1462 
 217.997 2244 4291 2166 
 217.997 2315 4372 1151 
 216.99 215 4156 870 
 217.499 2201 4063 901 
 1606 4021 368 
 216.492 2146 3929 1156 
 215.49 2276 4234 739 
 218.497 2771 4301 1469 
 219.494 2456 4278 2213 
 217.499 2336 4234 1220 
 220.497 113 4610 2272 
 222.492 2608 4508 2459 
 218.497 2680 4409 2389 
 220.497 2351 4198 2145 
