radius area area area 
 224.488 2097 5399 3792 
 216.99 2361 5444 3630 
 219.494 2393 5334 3654 
 221.988 2277 5415 3644 
 216.492 144 5353 3640 
 218.497 117 5268 3698 
 17594 5293 3716 
 219.494 1975 5506 3641 
 218.497 2071 5652 3847 
 219.995 2369 5633 3884 
 219.995 140 5461 3875 
 217.997 2390 5464 3719 
 217.499 2283 5267 3687 
 219.995 2275 5209 3567 
 222.997 2443 5151 3570 
 222.492 2282 5293 3559 
 218.997 2144 5278 3610 
 219.995 1873 5593 3798 
 221.988 122 5714 3947 
 220.497 1937 5667 4217 
 219.995 2245 5352 4049 
 219.995 121 5165 3792 
 217.997 2313 4949 3491 
 217.499 1933 4665 3283 
 217.997 2318 4514 3100 
 218.497 156 4464 2906 
 217.997 2072 4384 2860 
 219.995 132 4459 2814 
 218.997 118 4179 2772 
 219.995 2191 4177 2611 
 221.494 169 4186 1527 
 219.995 124 4191 2509 
 217.499 2299 4165 2550 
 217.499 2517 4135 
 218.497 2504 4137 2459 
 216.99 2624 4144 2503 
 218.997 2377 4038 
 217.997 2593 3980 2301 
 219.494 169 4017 2256 
 220.497 2263 3962 
 216.99 114 3840 802 
 218.497 2467 3681 2037 
 217.997 2436 3777 1920 
 218.497 123 3758 1052 
 220.497 118 3782 1862 
 219.494 127 3750 1851 
 216.99 2592 791 
 218.497 2971 3697 1161 
 217.997 136 1051 
 217.997 371 3949 1288 
 219.494 2823 3885 927 
 217.499 2686 3785 631 
 218.997 143 867 
 216.99 333 3674 707 
 218.497 3739 909 
 216.99 2696 3788 594 
 221.988 121 3777 633 
 216.492 3568 743 
 217.997 2732 3475 373 
 219.494 2255 3500 582 
 219.995 3496 693 
 217.499 2646 3411 633 
 217.499 2537 3327 495 
 219.995 2450 3398 728 
 219.494 2646 3575 621 
 218.497 268 3530 673 
 218.497 2387 3602 1096 
 218.497 2770 3622 841 
 225.999 2511 3526 1040 
 219.995 2523 3655 910 
 217.997 117 3501 755 
 216.492 2431 3452 1120 
 220.995 2387 3535 912 
 221.494 2344 3499 1055 
 219.494 2365 3250 664 
 219.995 1894 3275 524 
 220.497 121 3316 693 
 219.995 1979 3235 619 
 218.497 2408 3305 821 
 170 3360 1030 
 216.492 2194 3434 1032 
 217.997 2015 3455 685 
 218.997 2129 3417 973 
 217.499 230 3389 293 
 428.992 1991 3338 814 
 4286 3286 322 
 216.492 1936 3301 985 
 215.49 2046 3560 704 
 219.494 2655 3739 1268 
 219.494 2364 3650 1232 
 216.99 2320 3617 1082 
 220.995 118 3850 1412 
 222.492 2601 3885 1535 
 217.997 2604 3772 2202 
 220.995 2420 3619 1263 
 221.988 2224 3780 1180 
 218.497 164 3931 2064 
 215.974 128 3755 2072 
 217.997 2333 3715 1985 
 219.995 2281 3746 2028 
 216.492 206 3808 1994 
 218.497 131 3856 2050 
 217.997 119 3918 2175 
 218.497 125 3975 2267 
 218.997 1933 3982 2284 
 215.974 2378 3864 2262 
 216.99 2185 3657 2148 
 219.995 2006 3720 783 
 218.497 2216 3652 1695 
 216.492 2207 3673 2018 
 218.997 2359 3804 1590 
 220.497 2176 3826 2101 
 218.497 2462 3933 2384 
 218.997 169 4037 2387 
 219.995 158 4034 2454 
 217.997 111 4020 2417 
 217.499 124 3985 1456 
 216.99 124 4115 1482 
 136 4177 1969 
 423.995 127 4050 2673 
 217.997 2295 4047 2523 
 219.995 148 3924 2502 
 218.997 181 3936 637 
 219.494 188 4066 1386 
 218.497 1685 4090 1860 
 219.494 399 4287 2706 
 218.997 135 4204 2732 
 216.99 2051 4250 2667 
 220.497 114 4224 2522 
 222.997 156 4040 2431 
 220.995 128 4047 2355 
 219.494 205 3923 2305 
 222.997 169 4060 2244 
 219.494 8325 4694 2766 
 229.486 17308 4959 3065 
 220.995 1802 4988 3199 
 224.975 1998 5055 3284 
 219.494 121 5132 3341 
 217.499 2176 5120 3292 
 216.492 116 5119 3344 
 220.497 2248 4940 3361 
