radius area area area 
 219.494 114 5667 3574 
 217.997 124 5689 3533 
 216.492 17409 5620 3558 
 220.497 2384 5541 3625 
 217.997 1112 5714 3654 
 216.99 131 5924 3685 
 217.499 2173 5921 3980 
 218.997 2298 5818 3872 
 217.997 126 5847 3798 
 219.494 2083 5856 3855 
 219.494 1897 6052 3991 
 218.997 2152 5962 4049 
 224.975 2001 5909 3990 
 216.99 2214 6007 3901 
 218.997 2179 5935 3923 
 219.494 2146 5946 3847 
 215.974 118 5897 3856 
 218.497 2180 5841 3912 
 17810 5908 3907 
 218.997 1856 6102 3885 
 218.497 142 6186 4020 
 217.997 2254 6117 4101 
 219.995 1005 6045 4081 
 217.997 2323 6022 3913 
 218.497 2230 5844 3944 
 219.995 2287 6000 3783 
 221.494 2402 5724 3842 
 221.988 2286 6049 3768 
 218.997 2219 5880 3827 
 219.494 1990 6312 4025 
 221.494 115 6384 4221 
 219.995 2099 6493 4641 
 218.997 2442 6334 4607 
 219.995 111 6185 4324 
 218.497 2534 5865 4086 
 217.499 2182 5499 3745 
 217.499 2538 5465 3528 
 218.497 144 5239 3270 
 217.997 126 5076 3177 
 219.995 138 5207 3083 
 218.997 203 4993 3008 
 220.995 2475 5048 2841 
 221.494 165 4853 2886 
 219.494 114 5067 2757 
 217.499 2485 5035 2807 
 218.497 2759 4971 2731 
 217.997 2834 4956 2650 
 216.492 2964 4983 2706 
 218.997 2722 4810 2505 
 217.997 2953 4799 2504 
 219.494 148 4835 2430 
 220.497 2548 4817 2463 
 216.99 2702 4628 2235 
 218.497 2695 4490 2244 
 218.997 2568 4612 2108 
 218.497 2631 4573 1503 
 220.497 2890 4599 2086 
 219.494 122 4573 2034 
 216.99 2569 4604 1015 
 219.995 2834 4569 1885 
 218.497 187 4740 1465 
 217.997 173 4714 2122 
 220.995 2579 4661 2138 
 216.99 2491 4549 2008 
 219.494 138 4604 1076 
 216.99 308 4463 814 
 218.497 2442 4559 1306 
 216.99 2358 4690 1423 
 221.988 118 4566 1175 
 216.99 188 4447 1067 
 217.499 2498 4318 759 
 219.494 1880 4327 845 
 220.497 2152 4179 1166 
 219.494 2209 4236 785 
 217.499 2099 4177 603 
 219.995 2088 4503 912 
 218.997 2244 728 
 218.497 178 4207 794 
 218.497 2119 4533 1845 
 218.497 2471 4345 1019 
 223.485 2145 1327 
 219.995 4672 2355 1023 
 217.997 4309 285 893 
 216.492 2304 4236 1363 
 221.494 2278 4515 1355 
 220.995 4495 1269 
 218.997 2253 4106 809 
 219.995 1851 4281 746 
 218.997 2136 4130 1032 
 220.497 1958 4160 1664 
 217.997 2391 4355 1267 
 220.497 153 4283 1806 
 216.492 2231 4274 1471 
 217.997 2123 4483 2200 
 217.997 2271 4343 1139 
 216.99 219 4147 879 
 217.499 2154 4086 913 
 219.494 1605 4029 369 
 216.492 2181 3914 1160 
 215.974 2308 4231 750 
 218.497 2923 4309 1481 
 219.494 2569 4291 2243 
 217.499 2571 4223 1750 
 220.497 135 4618 1802 
 222.492 2856 4490 2476 
 217.499 2978 4390 2427 
 220.497 2675 4164 2150 
 2532 4640 2138 
 218.497 155 4517 2273 
 215.974 119 4551 2297 
