radius area area area 
 216.492 2260 4545 2368 
 219.995 2098 4350 2341 
 219.494 2229 4283 1856 
 215.974 2215 4329 2247 
 218.497 2339 4426 1795 
 219.995 2200 4480 2472 
 218.497 2535 4601 2585 
 219.494 157 4691 2604 
 217.997 148 4701 2698 
 217.997 2566 4581 2644 
 219.494 119 4635 2687 
 2063 4956 1631 
 216.99 126 4811 2954 
 423.995 180 4773 2954 
 218.997 129 4778 2928 
 222.492 166 4842 2965 
 221.988 171 4818 2803 
 217.997 188 4895 1428 
 219.494 2729 4807 2934 
 218.497 386 4922 2987 
 218.497 130 4783 2964 
 217.997 2113 5000 2980 
 219.995 2128 4938 2735 
 222.997 156 4645 2720 
 221.988 132 4666 2538 
 217.997 205 4554 2534 
 225.494 164 4636 2451 
 219.494 120 5394 3002 
 224.488 2095 5509 3279 
 219.995 1881 5506 
 224.488 2017 5590 3513 
 219.494 116 5660 3552 
 217.997 2230 5689 3536 
 215.974 17341 5606 3560 
 220.497 2293 5559 3613 
 217.997 1126 5706 3650 
 216.99 135 5954 3662 
 217.499 2069 5909 3965 
 218.997 2238 5808 3851 
 217.997 126 5900 3810 
 219.494 2043 5892 3844 
 219.494 1960 6015 3973 
 219.494 2236 5957 4043 
 224.975 2076 5906 3988 
 216.99 2255 5998 3880 
 218.997 2259 5933 3919 
 219.494 2176 5946 3810 
 215.974 123 5889 3855 
 218.497 2182 5848 3901 
 2146 5955 3912 
 218.997 1913 6072 3863 
 218.497 2036 6167 4028 
 217.997 2374 6154 4092 
 219.995 6045 4044 
 217.997 2508 6051 3914 
 218.497 2369 5878 3917 
 219.995 2467 5881 3786 
 221.494 2597 5723 3844 
 221.988 2590 6010 
 219.494 2399 5999 3801 
 219.494 2136 6309 4009 
 221.494 116 6500 4201 
 219.995 2283 6475 4641 
 219.494 2565 6373 4628 
 219.494 115 6202 4322 
 218.497 2687 5892 4097 
 217.499 2310 5548 3728 
 217.499 2658 5386 3567 
 218.497 142 5232 3295 
 130 5109 3157 
 219.995 132 5211 3077 
 218.997 195 4812 2989 
 220.995 2419 5056 2845 
 175 5079 2881 
 221.494 118 5077 2761 
 217.499 2448 5033 2781 
 217.997 2661 5026 2732 
 217.997 2653 4925 2639 
 216.492 2845 4962 2698 
 218.997 2552 4798 2487 
 217.997 2755 4801 2513 
 219.494 2320 4838 2410 
 220.497 2334 4789 1700 
 216.99 2596 4635 2230 
 218.497 2624 4496 2234 
 218.497 2505 4613 2096 
 218.497 118 4582 1509 
 220.497 114 4612 2075 
 219.494 128 4569 2037 
 216.99 2552 4575 890 
 218.497 2800 4564 1857 
 218.497 4767 1468 
 217.997 342 4669 2122 
 220.995 4681 2134 
 216.99 2398 4543 1998 
 218.997 139 4608 1074 
 216.99 304 4514 813 
 218.497 2337 4537 1297 
 217.499 132 4674 1396 
 221.988 116 4565 2026 
 216.99 197 4431 884 
 217.997 2364 4223 753 
 219.494 1826 4228 833 
 219.995 2119 4156 1155 
 219.494 2313 4279 768 
 217.499 2170 4172 596 
 219.995 2114 4492 899 
 218.997 2365 4402 722 
 218.997 249 4175 778 
 218.497 2231 4509 1825 
 2636 4357 1019 
 218.497 2369 4498 1343 
 223.485 2452 4681 1020 
 217.997 280 4469 2198 
 216.492 2454 4241 2023 
 221.494 2413 4537 1342 
 220.497 2346 4469 1251 
 218.997 2395 4108 806 
 220.497 1997 4263 742 
 218.997 112 4119 991 
 220.497 2107 4124 1674 
 217.997 2523 4345 1253 
 220.497 159 4263 1776 
 216.492 2329 4202 1485 
 217.997 2243 4286 2165 
 217.997 2340 4351 1153 
 216.99 221 4158 873 
 217.499 2190 4051 909 
 219.995 1628 4024 379 
 216.492 2197 3913 1170 
 215.974 2312 4240 1883 
 218.497 2896 4293 1472 
 219.494 2589 4243 2225 
 217.499 2561 4216 2103 
 220.497 114 4619 2268 
 222.492 2746 4509 2484 
 217.997 2809 4407 2411 
 220.497 2509 4198 2128 
 221.988 2371 4627 2144 
 218.497 159 4541 2262 
 215.974 120 4564 2277 
 217.997 2373 4295 2207 
 219.995 2419 4329 2221 
 215.974 196 4648 2230 
 217.997 129 4378 2250 
 217.997 112 4481 2314 
 218.497 117 4541 2464 
 218.997 116 4601 2480 
 215.974 2349 4654 2473 
 216.492 2198 4364 2382 
 219.995 2043 4336 2333 
 219.494 2245 4259 1856 
 215.974 2194 4332 2253 
 218.497 2368 4451 1794 
 219.995 2161 4480 2355 
 218.497 2581 4711 2579 
 219.494 154 4718 2603 
 217.997 152 4680 2708 
 217.997 2549 4576 2656 
 219.494 116 4639 2679 
 216.99 115 4948 2812 
 219.995 127 4799 2905 
 423.995 168 4765 2970 
 218.997 123 4763 2941 
 222.492 173 4846 2973 
 221.988 171 4889 2809 
 217.997 183 4867 2921 
 219.494 2625 4855 2944 
 218.997 391 4923 2981 
 218.997 124 4806 2984 
 217.997 1967 4982 2985 
 220.497 2087 4926 2739 
 222.997 152 4672 2750 
 221.494 133 4652 2540 
 217.997 202 4534 2530 
 225.999 2507 4682 2437 
 219.494 119 5376 3002 
 224.488 2319 5530 3286 
 223.485 2009 5504 3455 
 224.488 2201 5616 3513 
 219.494 119 5667 3573 
 217.997 117 5679 3518 
 215.974 12389 5624 3548 
 220.497 2491 5558 3594 
 217.997 1123 5699 3673 
 216.99 134 5945 3654 
 217.499 2173 5912 3972 
 218.997 2317 5826 3850 
 217.997 124 5870 3811 
 219.494 2152 5893 3845 
 219.494 2033 6022 3957 
 218.997 2251 5950 4022 
 224.488 2110 5917 3989 
 216.99 2384 5986 3866 
 218.997 2314 5934 3893 
 219.494 2300 5940 3821 
 215.974 118 5906 3838 
 218.497 2196 5851 3897 
 216.99 2088 5889 3921 
 218.997 1917 6091 3875 
 218.497 136 6152 4017 
 219.995 2319 6106 4101 
 219.995 1025 6072 4067 
 217.997 2371 6007 3911 
 218.497 2234 5847 3944 
 219.995 2198 5872 3778 
 221.494 2369 5725 3834 
 221.494 112 6037 3759 
 218.997 2068 6005 3818 
 219.494 1896 6308 3999 
 221.494 124 6518 4193 
 219.995 1880 6497 4656 
 219.494 2252 6314 4622 
 219.494 120 6192 4339 
 218.497 2204 5876 4071 
 217.499 1846 5532 3738 
 216.99 2242 5456 3571 
 218.497 141 5252 3285 
 217.997 2079 5118 3171 
 219.995 127 5210 3082 
 218.997 125 4804 2977 
 220.995 2229 5083 2834 
 221.494 168 4875 2870 
 219.494 121 5083 2760 
 217.499 2363 5034 2777 
 217.997 2623 5028 2717 
 218.497 2741 4937 2643 
 216.492 2862 4968 2688 
 218.997 2616 4810 2494 
 217.997 2848 4775 2500 
 219.494 155 4864 2430 
 220.995 2476 4792 2452 
 216.99 2694 4633 2216 
 218.997 2808 4496 2218 
 218.997 2736 4584 2110 
 218.497 115 4575 2120 
 220.497 2978 4614 2061 
 219.494 124 4582 2049 
 216.99 2755 4570 867 
 218.997 3046 4549 1831 
 218.497 132 4727 1477 
 217.997 170 4728 2116 
 219.494 2786 4626 2141 
 216.99 2655 4538 1989 
 218.997 139 4573 1070 
 216.99 305 4499 798 
 218.997 2669 4539 1350 
 216.99 2677 4699 1395 
 221.988 115 4610 1148 
 216.99 192 4447 885 
 217.997 2723 4271 745 
 219.494 2150 4211 648 
 219.995 2324 4121 952 
 219.494 2436 4254 759 
 216.99 2375 4176 587 
 219.995 2263 4469 1034 
 219.494 2417 4578 727 
 218.997 241 4203 790 
 218.497 2234 4508 1658 
 218.497 2614 4360 2153 
 223.485 2294 4532 1319 
 219.995 2371 4670 1026 
 217.997 281 4324 2190 
 216.492 2385 4228 1329 
 221.494 2323 4509 1349 
 220.497 2195 4299 1250 
 218.997 2263 4114 793 
 219.995 1917 4252 740 
