radius area area area 
 222.492 176 4841 2971 
 172 4866 2822 
 217.997 188 4870 2926 
 218.997 2766 4861 2946 
 218.497 387 4939 2985 
 218.997 128 4797 2970 
 217.997 2224 5005 2980 
 220.497 112 4944 2765 
 222.997 155 4659 2717 
 221.494 136 4640 2550 
 218.497 195 4543 2523 
 225.999 165 4652 2456 
 219.494 113 5397 3002 
 224.488 2158 5513 3279 
 223.485 1938 5510 3470 
 224.488 2102 5593 3521 
 219.494 118 5667 3556 
 217.997 115 5689 3539 
 215.974 17355 5641 3560 
 220.497 2361 5550 3623 
 217.997 1100 5718 3647 
 216.99 131 5943 3675 
 217.499 2078 5906 3976 
 218.997 2229 5816 3885 
 217.997 125 5893 3822 
 219.494 2064 5918 3843 
 219.494 1854 6045 3964 
 218.997 2159 5938 4035 
 224.488 2049 5916 3983 
 216.99 2215 6004 3892 
 218.997 2187 5924 3922 
 219.494 2178 5954 3834 
 215.974 119 5905 3859 
 218.497 2190 5855 3911 
 2098 5940 3897 
 219.494 1909 6086 3881 
 218.497 2057 6183 4033 
 217.997 2333 6125 4081 
 219.995 113 6022 4059 
 217.997 2418 6002 3923 
 218.497 2306 5838 3939 
 219.995 2359 6024 3785 
 221.494 2519 5739 3848 
 221.988 115 5981 3762 
 219.494 2345 5892 3810 
 219.995 2106 6309 4000 
 221.494 119 6512 4207 
 219.995 2176 6528 4652 
 219.494 2507 6392 4661 
 219.494 2896 6199 4355 
 218.497 2627 5931 4150 
 217.499 2280 5566 3757 
 216.99 2645 5416 3576 
 218.497 145 5254 3319 
 217.997 131 5144 3183 
 219.995 128 5220 3110 
 218.997 210 4995 3033 
 220.995 2564 5097 2836 
 221.494 157 5079 2891 
 219.494 115 5081 2772 
 217.499 2523 5039 
 217.499 2765 4998 2725 
 217.997 2780 4938 2639 
 216.492 2999 4986 2718 
 218.997 2658 4801 2514 
 217.997 2850 4793 2518 
 219.494 147 4843 2411 
 220.497 2415 4806 2479 
 216.99 2577 4637 2237 
 218.497 2622 4492 2244 
 218.497 2471 4619 2143 
 218.497 117 4594 1518 
 220.497 117 4624 2087 
 219.494 123 4569 2043 
 216.99 2553 4588 1016 
 218.997 2814 4561 2044 
 218.497 206 4774 1474 
 217.997 168 4719 2125 
 220.995 2547 4698 2134 
 216.99 2438 4566 1998 
 219.494 142 4604 1070 
 216.99 306 4543 824 
 218.497 2385 4570 1309 
 216.99 135 4675 1421 
 221.988 112 4594 1177 
 216.99 197 4481 1106 
 218.997 2358 4372 759 
 219.494 1846 4345 661 
 220.497 2094 4180 1162 
 219.494 2199 4246 772 
 217.499 2090 4181 603 
 219.995 2053 4486 1048 
 218.997 2284 4421 730 
 218.997 248 4223 795 
 218.497 2186 4512 1837 
 217.997 2598 4391 2169 
 222.997 2285 4552 1354 
 219.995 2405 4709 1033 
 217.997 281 4467 2232 
 216.492 2400 4284 1373 
 2362 4551 1359 
 220.497 2305 4490 1268 
 218.997 2351 4141 812 
 219.995 1907 4297 746 
 218.997 2132 4123 1034 
 220.497 2040 4151 1698 
 217.997 2463 4357 1261 
 220.497 159 4331 1811 
 216.492 2289 4287 1502 
 218.497 2178 4317 2196 
 217.997 2315 4372 1163 
 216.99 215 4181 898 
 217.499 2183 4081 914 
 219.995 1609 4019 373 
 216.492 2153 3936 1175 
 215.49 2273 4263 758 
 218.497 2908 4313 1494 
 219.494 2565 4249 2244 
 217.499 2595 4241 1745 
 220.497 111 4618 2302 
 222.492 2851 4516 2483 
 217.499 2982 4388 2444 
 220.497 2694 4200 2160 
 221.988 2498 4621 2143 
 218.497 156 4544 2277 
 215.974 127 4560 2299 
 217.997 2470 4295 2214 
 219.995 116 4353 2235 
 216.492 198 4648 2239 
 217.997 133 4363 2244 
 217.997 115 4507 2322 
 218.497 121 4541 2462 
 218.997 113 4606 2495 
 215.974 2466 4617 2482 
 216.99 2284 4382 2378 
