radius area area area 
 220.497 118 4594 2303 
 221.988 2590 4531 2472 
 217.499 2535 4423 2399 
 220.497 2368 4202 2132 
 221.988 2227 4622 2150 
 218.497 161 4571 2266 
 215.974 129 4571 2282 
 217.997 2304 4286 2222 
 219.995 2299 4345 2222 
 215.974 185 4661 2243 
 218.497 128 4386 2254 
 217.997 114 4470 2327 
 218.497 115 4540 2474 
 218.997 114 4628 2498 
 215.974 2393 4666 2465 
 216.99 2227 4572 2382 
 219.995 2061 4354 2342 
 219.494 2221 4265 2208 
 216.492 2186 4349 2252 
 218.497 2354 4437 1794 
 219.995 2208 4486 2362 
 218.497 2533 4603 2602 
 219.494 157 4689 2621 
 217.499 145 4698 2722 
 217.997 2586 4599 2648 
 221.988 122 4622 2692 
 216.99 112 4851 1627 
 219.494 131 4812 2945 
 423.995 171 4792 2976 
 218.997 127 4759 2929 
 222.492 170 4882 2977 
 221.988 173 4847 
 217.997 189 4874 2823 
 219.494 2792 4824 1432 
 218.497 381 4947 2932 
 218.997 123 4812 2968 
 218.497 2198 4978 2979 
 219.995 2213 4915 2747 
 222.997 154 4661 2730 
 221.494 133 4651 2558 
 217.997 200 4548 2525 
 225.999 124 4657 2440 
 219.494 19024 5391 2991 
 224.488 2115 5513 3287 
 223.485 1882 5511 3469 
 224.488 2069 3503 
 219.494 116 5671 3559 
 217.499 2115 5691 3537 
 215.974 17379 5628 3561 
 220.497 2333 5549 3613 
 217.997 111 5708 3661 
 216.99 129 5954 3663 
 217.499 2042 5900 3969 
 218.997 2208 5809 3874 
 217.997 128 5902 3817 
 219.494 2049 5907 3850 
 219.494 1906 6005 3949 
 218.997 2217 5963 4043 
 224.975 2099 5914 3985 
 216.99 113 6017 3886 
 218.997 2234 5935 3895 
 219.995 2181 5942 3827 
 215.974 120 5905 3860 
 2177 5858 3903 
 216.99 2093 5926 3915 
 218.997 1866 6088 3870 
 218.497 2048 6193 4005 
 217.997 2334 6134 4100 
 219.995 111 6039 4073 
 217.997 2464 5984 3908 
 218.497 2351 5848 3943 
 219.995 2406 5865 3762 
 2597 5709 3845 
 221.494 115 5985 3762 
 221.988 2366 5915 3807 
 219.494 2114 6315 4007 
 221.494 117 6508 4197 
 219.995 2265 6494 4643 
 218.997 2549 6376 4653 
 219.995 116 6195 4349 
 218.497 2713 5924 4140 
 217.499 2313 5561 3740 
 216.99 2662 5402 3586 
 218.497 143 5260 3316 
 218.497 135 5125 3173 
 219.995 134 5208 3099 
 218.997 209 4961 3023 
 220.995 2527 5084 2841 
 221.494 162 4864 2893 
 219.494 116 5076 2758 
 217.499 2539 5022 2818 
 217.997 2725 5003 2726 
 217.997 2730 4932 2645 
 216.492 2911 4968 2708 
 218.997 2561 4816 2482 
 217.997 2788 4788 2526 
 219.494 146 4829 2411 
 220.995 2356 4794 2466 
 216.99 120 4633 2232 
 218.497 2658 4481 2247 
 218.497 2469 4600 2132 
 218.497 119 4579 2110 
 220.497 2806 4606 2081 
 219.494 125 4572 2031 
 216.99 2546 4591 1010 
 218.997 2772 4568 1863 
 218.497 196 4759 1473 
 217.997 170 4702 2119 
 219.494 2585 4680 2137 
 216.99 2426 4554 2000 
 218.997 141 4596 1081 
 299 4546 817 
 218.497 2386 4582 1305 
 216.99 126 4673 1415 
 221.988 116 4584 1170 
 216.99 202 4463 1087 
 219.494 2346 4250 751 
 219.494 1875 4266 659 
 220.497 2123 4175 1161 
 219.494 2261 4270 768 
 217.499 2151 4209 601 
 219.995 2082 4488 1043 
 218.997 2339 4588 728 
 218.997 249 4318 792 
 217.997 2202 4516 1669 
 218.497 2630 4380 2159 
 223.485 2295 4536 1337 
 219.995 2430 4695 1024 
 217.997 273 4470 909 
 216.492 2429 4266 1352 
 221.494 2360 4575 1360 
 220.497 2309 4484 1265 
 218.997 2318 4139 808 
 219.995 1921 4306 756 
 218.997 111 4120 1026 
 220.497 2015 4140 1668 
 217.997 2490 4373 1260 
 220.497 157 4331 1792 
 216.492 2366 4258 1481 
 217.997 2242 4292 2181 
 217.997 2306 4367 1153 
 216.99 212 4169 896 
 217.499 2199 4096 914 
 219.995 1600 4031 372 
 216.492 2184 3943 1170 
 215.974 2314 4244 1884 
 218.497 2864 4300 1494 
 219.494 2554 4254 2231 
 217.499 2558 4216 1745 
 220.497 114 4621 2282 
 221.988 2835 4521 2468 
 217.499 2932 4403 2415 
 220.497 2601 4195 2149 
 221.988 2488 4632 2147 
 218.497 161 4542 2265 
 215.974 122 4569 2295 
 217.997 2428 4269 2218 
 219.995 2448 4338 2233 
 216.492 194 4641 2227 
 217.997 132 4373 2251 
 217.997 114 4474 2334 
 218.497 118 4538 2457 
 218.997 116 4608 2485 
 215.974 2439 4627 2478 
 216.99 2207 4385 2371 
 219.995 2079 4368 2344 
 219.494 2193 4281 1841 
 216.492 2183 4347 2262 
 218.497 2345 4471 1796 
 219.995 2199 4480 2361 
 218.497 2532 4642 2594 
 219.494 154 4708 2613 
 217.499 153 4700 2729 
 217.997 2543 4584 2647 
 221.494 113 4646 2707 
 216.99 2050 4980 2806 
 219.494 123 4823 2914 
 423.995 178 4788 2965 
 218.997 123 4768 2941 
 222.492 148 4851 2965 
 221.494 174 4827 2803 
 217.997 188 4872 2931 
 218.997 2576 4855 2948 
 218.997 386 4920 2976 
 218.997 124 4804 2983 
 217.997 1956 4982 2980 
 220.497 111 4927 2781 
 222.997 156 4660 2722 
 221.494 132 4658 2546 
 217.997 208 4540 2529 
 225.999 168 4658 2444 
 219.494 114 5359 3004 
 224.488 2293 5543 3297 
 223.485 1986 5513 3462 
 224.488 2180 5629 3511 
 219.494 115 5670 3584 
 217.997 121 5690 3528 
 215.974 12350 5604 3557 
 220.497 2510 5562 3605 
 217.499 657 5693 3673 
 216.99 129 5958 3670 
 217.499 2164 5903 3979 
 218.997 2358 5803 3850 
 217.997 126 5857 3835 
 219.494 2146 5899 3840 
 219.494 2012 6024 3945 
 218.997 2236 5941 4035 
 224.975 2136 5917 3994 
 216.99 2330 6012 3862 
 218.997 2308 5940 3890 
 219.494 2289 5959 3814 
 215.974 117 5897 3869 
 218.497 2187 5833 3898 
 2099 5895 3914 
 219.494 1906 6083 3861 
 218.497 132 6176 4027 
 219.995 2380 6099 4089 
 219.995 2237 6042 4060 
 217.997 2366 6020 3926 
 218.497 2215 5820 3931 
 219.995 2217 5952 3777 
 221.494 2430 5740 3835 
 221.988 116 6059 3758 
 219.494 2060 6009 3817 
 219.494 1830 6311 4008 
 221.494 120 6524 4212 
 219.995 1873 6513 4655 
 218.997 2258 6371 4653 
 219.494 113 6200 4372 
 218.497 2270 5872 4119 
 217.499 1859 5539 3750 
 216.99 2215 5465 3589 
 218.497 146 5260 3296 
 217.997 2036 5135 3204 
 219.995 131 5189 3092 
 218.997 2011 4787 2996 
 221.494 2135 5090 2853 
 221.494 167 4885 2895 
 219.494 113 5107 2766 
 217.499 2301 5047 2804 
 217.997 2605 4990 2735 
 218.497 2696 4930 2643 
 216.492 2832 4968 2719 
 218.997 2562 4797 2496 
 217.997 2799 4777 2524 
 219.494 153 4862 2410 
 220.995 2445 4787 2454 
 216.492 113 4642 2223 
 218.497 2736 4512 2242 
 218.497 2666 4596 2108 
 218.497 120 4580 2116 
 220.497 2939 4602 2060 
 219.494 121 4586 2063 
 216.99 2789 4563 873 
 218.497 3081 4562 2006 
 218.497 136 4752 1132 
 217.997 359 4725 2116 
 219.494 2829 4625 2137 
 216.492 2725 4541 2010 
 219.494 137 4590 1069 
 216.492 303 4501 803 
 218.997 2692 4565 1358 
 216.99 2607 4690 1403 
 221.988 112 4614 1171 
 216.99 198 4438 905 
 219.494 2742 4310 761 
 219.494 2215 4234 844 
 220.497 2431 4152 1079 
 219.995 2499 4254 764 
 217.499 2462 4191 592 
 219.995 2340 4353 1055 
 218.997 2455 4582 733 
 218.497 247 4213 788 
 218.497 2257 4519 1662 
 218.497 2710 4357 1016 
 223.485 2320 4514 1343 
 219.995 2378 4685 2246 
 217.997 281 4463 2244 
 216.492 2431 4269 2046 
 221.494 2353 4543 1357 
 220.995 2275 4347 1252 
 218.997 2301 4123 809 
 219.995 1876 4291 748 
 218.997 2048 4121 1005 
 220.497 1935 4147 1675 
 217.997 2384 4382 1255 
 220.497 153 4309 1814 
 216.492 2252 4250 1473 
 217.997 2120 4300 2176 
 217.997 2239 4365 1138 
 216.99 226 4159 886 
 217.499 2110 4075 904 
 219.995 1617 4022 363 
 216.492 2072 3938 1162 
 215.49 2210 4272 1874 
 218.497 2797 4306 1467 
 219.494 2457 4251 2247 
 217.499 2456 4218 2088 
 220.497 113 4632 1794 
 222.492 2754 4529 2475 
 217.997 2898 4399 2414 
 220.497 2573 4161 2151 
 221.988 2443 4662 2153 
 218.497 160 4526 2264 
 216.492 121 4559 2290 
 217.997 2503 4244 2225 
 219.995 2529 4324 2238 
 215.974 204 4627 2230 
 217.997 126 4343 2259 
 217.997 115 4448 2317 
 218.497 121 4524 2460 
 218.997 2188 4611 2494 
 215.974 2602 4620 2471 
 216.99 2439 4386 2368 
 219.995 2240 4364 2329 
 219.494 2389 4258 2217 
 215.974 2354 4355 2253 
 218.497 2496 4453 1794 
 219.995 2235 4512 2472 
 218.497 2596 4611 2606 
 219.494 157 4699 2633 
 217.499 140 4696 2707 
 217.997 2581 4575 2656 
 220.995 119 4639 2686 
 216.99 2032 4856 2812 
 219.494 131 4822 2914 
 424.498 169 4797 2979 
 218.497 124 4807 2940 
 222.492 174 4852 2963 
 221.988 173 4803 2826 
 217.997 183 4889 1435 
 218.997 2523 4790 2924 
 218.997 386 4915 2980 
 218.997 125 4786 2955 
 217.997 1845 4982 2988 
 219.995 1904 4932 2765 
 222.997 160 4658 2695 
 221.494 137 4667 2565 
 217.997 200 4546 2518 
 225.999 171 4662 2419 
 219.494 115 5393 2969 
 224.488 2012 5512 3299 
 220.995 1718 5521 3448 
 223.986 1971 5604 3512 
 219.494 115 5684 3571 
 217.997 2179 5704 3530 
 215.974 2050 5639 3556 
 220.995 2298 5538 3606 
 217.997 116 5704 3668 
 216.99 132 5965 3671 
 217.499 2019 5940 3963 
 218.997 2191 5825 3860 
 217.997 115 5867 3815 
 219.494 2015 5854 3859 
 219.494 1906 6013 3961 
 218.997 2167 5951 4035 
 224.975 2005 5907 3988 
 216.99 111 6021 3876 
 218.997 2284 5911 3920 
 219.494 2243 5932 3830 
 215.974 119 5899 3862 
