radius area area area 
 217.997 180 4916 1433 
 219.494 2629 4809 2940 
 218.497 391 4931 2976 
 218.997 122 4782 2953 
 217.997 1928 4976 2992 
 219.995 1987 4933 2772 
 222.997 153 4648 2702 
 221.988 137 4661 2538 
 217.997 201 4534 2525 
 225.999 2329 4656 2444 
 219.494 111 5373 2988 
 224.488 2203 5517 3283 
 221.494 1936 5510 3452 
 224.488 2108 5618 3499 
 219.494 119 5658 3570 
 217.997 118 5685 3522 
 215.974 12650 5612 3555 
 220.497 2359 5559 3609 
 217.997 116 5691 3668 
 216.99 133 5938 3654 
 217.499 2123 5888 3959 
 218.997 2279 5794 3846 
 217.997 123 5888 3805 
 219.494 2167 5898 3847 
 219.494 1941 6014 3950 
 219.494 2188 5960 4003 
 224.975 2119 5910 3992 
 216.99 113 6013 3857 
 218.997 2329 5933 3876 
 219.494 2255 5956 
 215.49 120 5900 
 218.497 2203 5845 3869 
 216.99 2078 5921 3897 
 218.997 1941 6088 3848 
 218.497 2076 6140 4039 
 217.997 2438 6101 4076 
 219.995 125 6042 4070 
 217.997 2401 6004 3904 
 218.497 2290 5849 3925 
 219.995 2327 5862 3770 
 221.494 2478 5732 3832 
 221.988 2331 6045 3754 
 218.997 2215 5989 3820 
 219.995 1926 6315 3998 
 221.494 116 4197 
 219.995 1954 6497 4629 
 218.997 2270 6329 4629 
 219.494 115 6157 4316 
 218.497 2310 5886 4081 
 217.499 1907 5530 3738 
 217.499 2320 5386 3554 
 218.497 147 5249 3288 
 217.997 2126 5098 3167 
 219.995 134 5209 3098 
 218.997 4797 2994 
 220.995 2185 5048 2826 
 221.494 159 4869 2870 
 219.494 113 5069 2763 
 2298 5022 2773 
 217.499 2547 4998 2720 
 218.497 2556 4929 2653 
 216.492 2645 4951 2695 
 218.997 2459 4808 2480 
 2658 4791 2533 
 219.494 155 4849 2398 
 220.995 2375 4781 2444 
 216.99 112 4639 2233 
 218.497 2663 4503 2222 
 218.497 2557 4596 2121 
 218.497 117 4565 2111 
 220.497 2888 4594 2063 
 219.494 124 2045 
 216.99 2676 4567 998 
 3023 4546 1826 
 218.497 134 4738 1479 
 217.997 323 4727 2128 
 220.995 2841 4648 2126 
 216.492 2790 4534 2008 
 218.997 137 4585 1065 
 216.99 295 4505 796 
 218.997 2708 4550 1283 
 216.99 2697 4673 1386 
 221.988 2567 4607 1128 
 216.99 196 4359 882 
 217.997 2777 4189 754 
 219.494 2226 4207 645 
 220.497 2447 4148 1065 
 219.494 2558 4306 762 
 217.499 2537 4172 584 
 219.995 2430 4463 1029 
 219.494 2614 4590 722 
 218.997 245 4186 779 
 218.497 2360 4501 1830 
 217.997 2736 4362 1015 
 223.986 2391 4494 1320 
 219.995 2464 4672 1019 
 217.997 276 4455 2193 
 216.492 2466 4246 1322 
 2398 4511 1349 
 221.494 2314 4473 1244 
 220.995 2318 4116 791 
 219.995 1938 4287 736 
 218.997 112 4109 1001 
 220.497 1964 4134 1642 
 217.997 2421 4348 1242 
 220.497 157 4262 1782 
 216.492 2205 4216 1465 
 217.997 2093 4292 2164 
 217.997 2218 4349 1142 
 216.99 221 4159 866 
 217.499 2005 4089 914 
 219.995 1613 4047 369 
 216.492 2053 3920 1149 
 215.974 2159 4246 750 
 218.497 2776 4298 1477 
 219.494 2529 4236 2231 
 217.499 2462 4210 1727 
 220.497 113 4623 1805 
 221.988 2702 4489 2464 
 218.497 2708 4413 2419 
 220.497 2487 4183 2136 
 221.988 2358 4654 2153 
 218.497 157 4518 2255 
 215.974 116 4548 2281 
 217.997 2415 4264 2212 
 219.995 114 4339 2230 
 215.974 195 4643 2230 
 218.497 130 4353 2252 
 217.997 116 4463 2318 
 218.497 119 4534 2463 
 218.997 115 4602 2473 
 215.974 2505 4491 2456 
 216.492 2388 4538 2361 
 219.995 2171 4371 2319 
 219.494 2338 4254 2212 
 216.492 2280 4331 2251 
 218.497 2383 4439 2354 
 219.995 2237 4497 2461 
 218.497 2543 4648 2590 
 219.494 157 4688 2613 
 217.997 151 4698 2682 
 217.997 2638 4583 2646 
 219.494 123 4625 2675 
 216.99 116 4780 1623 
 219.494 130 4797 2924 
 424.498 173 4775 2948 
 218.997 125 4775 2931 
 221.988 169 4862 2947 
 221.988 178 4817 2816 
 217.997 180 4883 2914 
 219.494 2596 4822 2950 
 218.497 384 4936 2984 
 218.997 129 4783 2972 
 218.497 1873 4955 2973 
 220.497 1935 4935 2764 
 222.997 157 4660 2694 
 221.494 135 4655 2543 
 217.997 206 4531 2504 
 225.999 2186 4650 2431 
 219.494 117 5393 2976 
 224.488 2034 5483 3292 
 223.485 1734 5501 3474 
 224.488 1948 5589 3504 
 219.494 119 5668 3577 
 217.997 2147 5679 3516 
 215.974 17265 5609 3563 
 220.497 2245 5551 3609 
 217.997 1102 5710 3640 
 216.99 131 5943 3670 
 217.499 2088 5906 3962 
 218.997 2192 5817 3856 
 217.997 122 5847 3788 
 219.494 1990 5870 3825 
 219.494 1846 6014 3984 
 219.494 2123 5946 4035 
 224.975 2005 5903 3979 
 216.99 2221 5988 3864 
 218.997 2244 5926 3896 
 219.494 2205 5950 3824 
 215.974 116 5887 3836 
 218.497 2169 5845 3909 
 216.99 17776 5945 3909 
 218.997 2002 6085 3871 
 218.497 138 6183 4031 
 217.997 2508 6152 4101 
 219.995 1275 6067 4059 
 217.997 2604 6043 3902 
 218.497 2478 5855 3909 
 219.995 2582 5878 3764 
 221.494 2717 5723 3832 
 221.988 111 5975 3752 
 219.494 2471 5901 3802 
 219.995 2178 6320 4012 
 221.494 120 6501 4195 
 219.995 2240 6479 4647 
 219.494 2548 6353 4613 
 219.995 111 6193 4323 
 218.497 2593 5870 4073 
 217.499 2205 5546 3734 
 217.499 2507 5377 3520 
 218.497 144 5233 3286 
 217.997 2288 5113 3189 
 219.995 126 5206 3091 
 218.997 176 4801 2992 
 220.995 2324 5063 2825 
 221.494 174 4875 2876 
 219.494 120 5086 2772 
 217.499 2399 5044 2785 
 217.499 2586 4965 2733 
 217.997 2693 4916 2643 
 216.492 2790 4943 2705 
 218.997 2529 4803 2499 
 217.997 2697 4777 2514 
 219.494 152 4837 2410 
 220.995 2369 4795 2447 
 216.99 114 4613 2220 
 218.497 2589 4482 2226 
 218.497 2416 4613 2113 
 218.497 115 4578 2112 
 220.497 114 4603 2073 
 219.494 122 4572 2042 
 216.99 2424 4554 1002 
 218.497 2626 4586 1847 
 218.497 258 4753 1477 
 217.997 356 4718 2116 
 220.995 2487 4665 2139 
 216.99 2425 4565 1999 
 219.494 141 4581 1066 
 216.99 298 4473 809 
 218.497 2526 4542 1346 
 217.499 119 4705 1398 
 221.988 111 4603 1139 
 217.499 195 4442 1088 
 217.499 2592 4303 767 
 219.494 2070 4232 647 
 219.995 2288 4128 1148 
 219.494 2469 4266 765 
 217.499 2428 4194 581 
 219.995 2329 4487 899 
 218.997 2527 4580 720 
 218.997 247 4219 790 
 218.497 2387 4488 1836 
 218.497 2759 4351 1023 
 223.485 2481 4489 1329 
 219.995 2569 4662 1032 
 217.997 279 4459 2199 
 216.492 2501 4239 1341 
 221.494 2525 4545 1343 
 220.497 2438 4475 1248 
 218.997 2486 4113 797 
 219.995 2110 4137 732 
 218.997 114 4110 1012 
 220.497 2227 4108 1641 
 217.997 2591 4347 1245 
 220.497 154 4284 1778 
 216.492 2333 4197 1236 
 217.997 2239 4281 2167 
 217.997 2327 4346 1141 
 216.99 215 4164 874 
 217.499 2198 4074 899 
 1597 4051 374 
 216.492 2094 3926 1138 
 215.49 2200 4228 1867 
 218.497 2782 4291 1475 
 219.494 2380 4271 2217 
 217.499 2352 4246 1733 
 220.497 115 4573 2283 
 222.492 2611 4522 2466 
 218.497 2695 4390 2398 
 220.497 2385 4200 2127 
 221.988 2227 4639 2140 
 218.497 154 4550 2273 
 215.974 120 4556 2277 
 217.997 2244 4273 2213 
 219.995 117 4347 2215 
 216.492 190 4649 2222 
 218.497 125 4388 2245 
 217.997 112 4463 2318 
 218.497 120 4543 2461 
 218.997 117 4616 2475 
 215.974 2356 4659 2460 
 216.99 2281 4370 2368 
 219.995 2034 4335 2335 
 219.494 2195 4277 1828 
 216.492 2197 4327 2275 
 218.497 2344 4444 1796 
 219.995 2138 4474 2328 
 218.497 2434 4620 2587 
 219.494 155 4691 2594 
 217.997 152 4683 2706 
 217.997 2538 4584 2659 
 219.494 123 4628 2687 
 216.99 111 4816 2820 
 219.995 129 4835 2916 
 423.995 171 4784 2949 
 218.997 125 4749 2906 
 222.492 166 4822 2965 
 221.494 175 4906 2813 
 217.997 189 4834 2907 
 219.494 2674 4869 2026 
 218.997 381 4942 2972 
 218.497 124 4782 2959 
 218.497 2110 4992 2957 
 220.497 2188 4924 2769 
 222.997 157 4691 2715 
 221.494 134 4638 2541 
 217.997 209 4538 2507 
 225.999 165 4660 2447 
 219.494 111 5372 2981 
 224.488 2314 5519 3280 
 223.485 2020 5496 3462 
 224.488 2158 5588 3503 
 219.494 116 5650 3578 
 217.997 120 5682 3538 
 215.974 111 5635 3542 
 220.497 2451 5545 3599 
 217.997 115 5699 3663 
 216.99 133 5945 3663 
 217.499 2198 5917 3956 
 218.997 2315 5803 3830 
 217.997 125 5863 3811 
 219.494 2145 5887 3825 
 219.494 1985 6020 3975 
 219.494 2206 5956 4016 
 224.975 1996 5891 3982 
 216.99 2260 6013 3874 
 218.997 2203 5942 3915 
 219.494 2175 5934 3813 
 215.974 117 5895 3854 
 218.497 2186 5859 3895 
 216.99 17806 5929 3888 
 218.997 1828 6096 3870 
 218.497 1970 6173 4015 
 219.995 2279 6110 4075 
 988 6045 4079 
 217.997 2312 6013 3898 
 218.497 2185 5838 3924 
 219.995 2241 5872 3776 
 221.494 2339 5728 3830 
 221.988 113 6053 3756 
 219.494 2146 6002 3825 
 219.494 1822 6334 4015 
 221.494 119 6536 4201 
 219.995 2006 6499 4637 
 218.997 2263 6381 4600 
 219.494 114 6210 4327 
 218.497 2391 5872 4097 
 217.499 2061 5528 3722 
 216.99 2456 5375 3547 
 218.497 148 5256 3272 
 217.997 2245 5114 3159 
 219.995 136 5203 3084 
 218.997 197 4807 2989 
 220.995 2419 4901 2839 
 221.494 165 5082 2877 
 219.494 117 5069 2746 
 217.499 2509 5045 2794 
 217.997 2743 5010 2708 
 217.997 2838 4970 2633 
 216.492 2918 4967 2703 
 218.997 2626 4811 2503 
 217.997 3009 4789 2494 
 219.494 150 4855 2409 
 220.995 2570 4771 2438 
 216.99 111 4650 2211 
 218.497 2767 4493 2222 
 218.497 2658 4596 2108 
 218.497 116 4576 2101 
 220.497 2926 4588 2069 
 219.494 121 4582 2034 
 216.99 2641 4574 879 
 218.497 2938 4547 1849 
 218.497 118 4758 1463 
 217.997 170 4736 2110 
 2668 4664 2133 
 216.99 2559 4516 2014 
 218.997 141 4566 1070 
 216.99 313 4490 801 
 218.497 2515 4553 1294 
 217.499 122 4690 1401 
 221.494 2394 4569 1158 
 216.99 199 4444 888 
 217.499 2531 4329 748 
 219.494 1941 4235 654 
 219.995 2216 4153 954 
 219.494 2283 4263 774 
 217.499 2191 4166 593 
 219.995 2141 4474 1031 
 218.997 2265 4360 720 
 218.997 177 4178 785 
 218.497 2079 4516 1650 
 217.997 2588 4351 1010 
 223.485 2266 4519 1318 
 219.995 2289 4669 1787 
 217.997 281 4426 2190 
 216.492 2331 4244 1337 
 221.494 2300 4494 1348 
 220.497 2220 4473 1249 
 218.997 2251 4103 810 
 219.995 1866 4133 736 
 218.997 2086 4114 1010 
 220.497 1921 4132 1631 
 217.997 2386 4348 1228 
 220.497 158 4236 2142 
 216.492 2273 4252 1449 
 217.997 2096 4294 2182 
 217.997 2248 4380 1120 
 216.99 215 4154 873 
 217.499 2135 4079 900 
 219.494 1643 3987 364 
 216.492 2194 3919 1146 
 215.49 2277 4209 1868 
 218.497 2866 4301 1478 
 219.494 2551 4241 2227 
 217.499 2610 4205 1744 
 220.497 127 4622 1799 
 222.492 2843 4501 2468 
 218.497 2938 4401 2415 
 220.497 2681 4167 2128 
 221.988 2510 4631 2145 
 218.497 159 4510 2259 
 215.974 124 4546 2282 
 217.997 2647 4245 2197 
 219.995 116 4324 2232 
 216.492 212 4627 2214 
 218.497 127 4360 2246 
 217.997 113 4462 2320 
 218.497 115 4518 2469 
 219.494 111 4591 2492 
 215.974 2576 4626 2466 
 216.492 2474 4365 2377 
 219.995 2266 4379 2333 
 219.494 2403 4239 1815 
 216.492 2356 4329 2276 
 217.997 2488 4426 1783 
 219.995 2219 4483 2336 
 218.497 2599 4629 2597 
 219.494 158 4701 2615 
 217.997 150 4707 2706 
 217.997 2484 4578 2652 
 219.494 120 4630 2684 
 216.99 114 4957 1631 
 219.494 129 4811 2939 
 423.995 169 4774 2969 
 218.997 129 4778 2925 
 222.492 175 4836 2967 
 221.494 173 4839 2807 
 217.997 181 4903 1430 
 219.494 2547 4807 2929 
 218.997 392 4951 2971 
 218.997 125 4819 2951 
 217.997 1904 4970 2959 
 219.995 111 4934 2765 
 222.997 155 4649 2671 
 221.988 134 4647 2544 
 217.997 206 4542 2494 
 225.999 164 4655 2430 
 219.494 111 5395 2994 
 224.488 2088 5521 3285 
 221.494 1897 5506 3447 
 223.986 2030 5599 3486 
 219.494 116 5658 3562 
 217.997 2117 5687 3527 
 215.974 12233 5634 3546 
 220.497 2337 5535 3602 
 217.997 123 5702 3681 
 216.99 132 5941 3663 
 217.499 2086 5913 3956 
 218.997 2233 5789 3846 
 217.997 126 5875 3805 
 219.494 2071 5905 3834 
 219.494 1935 6016 3962 
 218.997 2182 5958 4024 
 224.488 2156 5909 3985 
 216.99 111 6004 3865 
 218.997 2379 5937 3880 
 219.494 2322 5931 3814 
 215.49 116 5900 3853 
 218.497 2188 5847 3894 
 17769 5920 3927 
 218.997 1992 6087 3856 
 218.497 139 6163 4034 
 217.997 2384 6111 4069 
 2266 6041 4057 
 217.997 2417 6009 3906 
 218.497 2307 5811 3909 
 219.995 2315 5885 3775 
 221.494 2471 5738 3828 
 221.988 2334 6046 3756 
 219.494 2222 5989 3815 
 219.494 1933 6311 4002 
 221.494 120 6519 4185 
 219.995 1970 6486 4625 
 219.494 2315 6326 4622 
 219.494 2612 6158 4346 
 218.497 2389 5848 4092 
 217.499 2040 5524 3745 
 216.99 2353 5391 3564 
 218.497 147 5236 3272 
 217.997 2142 5121 3162 
 219.995 126 5215 3083 
 218.997 113 4805 2992 
 220.995 2227 4899 2833 
 221.494 163 4862 2863 
 219.494 118 5078 2740 
 217.997 2347 5060 2779 
 217.997 2592 4994 2736 
 217.997 2556 4921 2627 
 216.492 2621 4959 2698 
 218.997 2378 4806 2495 
 217.997 2623 4780 2494 
 219.494 147 4845 2409 
 220.497 2239 4806 2454 
 216.99 2465 4623 2217 
 218.497 2492 4483 2229 
 218.497 2494 4594 2119 
 218.497 117 4565 2104 
 220.497 115 4594 2069 
 219.494 123 4590 2044 
 216.99 2616 4553 871 
 218.997 2929 4523 1842 
 218.497 134 4742 1484 
 217.997 325 4708 2114 
 220.995 2813 4658 2128 
 216.99 2705 4542 1998 
 218.997 140 4573 1057 
 216.99 302 4504 798 
 218.497 2770 4539 1293 
 217.499 2724 4705 1396 
 221.988 113 4610 1144 
 216.99 188 4427 885 
 217.499 2795 4280 755 
 219.494 2282 4200 646 
 220.497 2446 4130 1066 
 219.494 2636 4192 755 
 217.499 2524 4164 584 
 219.995 2437 4474 1037 
 218.997 2627 4580 720 
 218.997 244 4202 783 
 218.497 2439 4496 1834 
 217.997 2834 4322 2136 
 223.986 2524 4482 1319 
 219.995 2583 4657 1782 
 217.997 280 4464 2208 
 216.492 2487 4238 1323 
 221.494 2456 4524 1340 
 220.995 2377 4465 1251 
 218.997 2408 4119 803 
 219.995 1950 4269 741 
 218.997 2190 4110 987 
 220.497 2068 4295 1659 
 217.997 2447 4358 1238 
 220.995 157 4261 2127 
 216.492 2248 4226 1473 
 217.997 2100 4287 2147 
 217.997 2193 4358 1152 
 216.99 223 4176 869 
 217.499 1994 4212 927 
 219.995 1613 4120 384 
 216.492 1960 3934 1162 
 215.974 2071 4237 1883 
