radius area area area 
 216.99 112 4966 1624 
 219.494 132 4776 2931 
 424.498 174 4757 2928 
 218.997 133 4765 2902 
 222.492 173 4830 2977 
 221.494 173 4809 2785 
 217.997 187 4892 2928 
 218.997 2682 4804 2941 
 218.497 389 4908 2973 
 218.997 131 4790 2949 
 217.997 2018 4962 2975 
 219.995 2037 4918 2768 
 222.492 155 4648 2714 
 221.494 131 4633 2537 
 217.997 203 4531 2509 
 225.494 168 4652 2441 
 219.494 117 5391 2984 
 224.488 2075 5510 3282 
 223.485 1801 5504 3454 
 224.488 2003 5598 3492 
 219.494 118 5641 3555 
 217.997 2044 5682 3525 
 215.974 17287 5612 3561 
 220.497 2284 5552 3606 
 217.997 113 5704 3643 
 216.99 137 5954 3664 
 217.499 2111 5890 3963 
 218.997 2246 5797 3841 
 217.997 131 5830 3800 
 219.494 2072 5846 3822 
 219.494 1968 6010 
 218.997 2241 5945 
 224.975 2024 5892 3958 
 216.99 111 5993 3873 
 218.997 2224 5917 3882 
 219.494 2181 5938 3823 
 215.974 121 5886 3847 
 218.497 2188 5841 3886 
 216.99 2135 5918 3913 
 218.997 1931 6071 3858 
 218.497 139 6187 4023 
 217.997 2371 6133 4079 
 1196 6048 4060 
 217.997 2501 3905 
 217.499 2429 3911 
 219.995 2511 5846 3779 
 221.494 2683 5859 3818 
 221.988 113 5962 3749 
 219.494 2484 5894 3798 
 219.995 2156 6309 4002 
 221.494 119 6496 4184 
 219.995 2266 6468 4597 
 219.494 2600 6314 4581 
 219.995 6181 4276 
 218.497 117 5880 4063 
 217.499 2277 5539 3675 
 216.99 2648 5430 3521 
 218.497 154 5377 3266 
 218.497 131 5095 3141 
 219.995 128 5193 3084 
 218.997 191 4777 2993 
 220.995 2391 5059 2831 
 221.494 162 4844 2871 
 219.494 118 5085 2748 
 2412 5058 2773 
 217.997 2600 4995 2717 
 217.997 2640 4892 2641 
 216.492 2821 4945 2707 
 218.997 2559 4791 2462 
 217.997 2737 4790 2518 
 219.494 149 4835 2406 
 220.995 2406 4789 2466 
 216.99 2584 4627 2219 
 2611 4474 2219 
 218.497 2478 4589 2100 
 123 4572 2102 
 220.497 112 4601 2053 
 124 4557 2042 
 216.99 2483 4569 1000 
 218.997 2727 4580 1859 
 218.497 257 4741 1466 
