radius area area area 
 222.997 155 4669 2703 
 221.494 139 4668 2578 
 217.997 206 4535 2512 
 225.999 2296 4675 2405 
 219.494 116 5393 3022 
 224.488 2086 5510 3289 
 219.494 1895 5523 3426 
 224.488 2089 5614 3568 
 219.494 116 5653 3586 
 217.997 2126 5699 3547 
 215.974 2067 5603 3607 
 220.497 2331 5558 3587 
 217.997 116 5696 3662 
 216.99 137 5952 3647 
 217.499 2099 5908 3960 
 218.997 2229 5810 3884 
 217.997 124 5884 3827 
 219.494 2059 5929 3829 
 218.997 1914 6034 3978 
 218.997 2187 5962 4022 
 224.975 2187 5924 3950 
 216.99 115 6025 3867 
 218.997 2354 5931 3863 
 219.494 2324 5960 3854 
 215.974 117 5913 3846 
 218.497 2169 5870 3900 
 216.99 2082 5950 3920 
 218.997 1997 6101 3877 
 218.497 2047 6157 4053 
 217.997 2420 6135 4072 
 219.995 139 6036 4054 
 217.997 2410 6020 3919 
 218.497 2269 5810 3941 
 219.995 2334 5899 3765 
 221.494 2470 5744 3800 
 221.988 2317 6046 3762 
 219.494 2225 5997 3786 
 220.497 1927 6138 4032 
 221.494 118 6541 4200 
 219.995 1998 6522 4676 
 219.494 2324 6354 4667 
 219.494 113 6198 4375 
 218.497 2392 5898 4141 
 217.499 1986 5523 3770 
 216.99 2345 3568 
 218.497 149 5250 3347 
 217.997 2130 5164 3188 
 219.995 127 5245 3121 
 218.997 128 4838 2977 
 220.995 2269 5085 2859 
 221.494 161 5121 2894 
 219.494 120 5101 2784 
 217.499 2345 5065 2829 
 218.997 2501 4993 2732 
 217.997 2511 4957 2667 
 216.492 2583 4983 2744 
 218.997 2373 4811 2496 
 217.997 2614 4808 2517 
 219.494 148 4855 2411 
 220.995 2236 4797 2469 
 216.99 2446 4652 2247 
 218.497 2566 4503 2264 
 218.497 2508 4598 2141 
 218.497 116 2108 
 219.995 112 4606 2074 
 219.494 126 4560 2051 
 216.99 2600 4550 1033 
 220.497 2869 4559 2041 
 218.497 113 4740 1425 
 217.997 361 4749 2124 
 219.494 2797 2179 
 216.492 4577 708 
 218.997 137 4603 1067 
 302 4494 818 
 218.497 2701 4592 1317 
 216.99 2698 4702 1376 
 221.494 117 4663 749 
 216.99 197 4478 1102 
 217.499 2771 4250 741 
 219.494 2209 4253 885 
 219.995 2420 4201 966 
 219.494 4331 785 
 217.499 2509 4210 614 
 219.995 2425 4541 934 
 218.997 2646 4633 772 
 218.497 250 4254 772 
 217.997 2427 4504 1861 
 218.497 2812 4375 1040 
 223.485 2455 4542 1374 
 219.995 2557 4743 1802 
 217.997 280 4551 2253 
 216.492 2490 4288 1361 
 221.494 2420 4571 1392 
 220.995 2379 4473 1240 
 218.997 2369 4153 823 
 219.995 1990 4324 766 
 218.997 112 4151 948 
 220.497 2066 4179 756 
 217.997 2442 4371 1310 
 220.497 152 4386 2230 
 216.492 2193 4294 1508 
 217.997 2037 4337 2208 
 217.997 2165 4432 1177 
 216.99 216 4173 879 
 217.499 1977 4106 908 
 219.995 1630 4092 376 
 216.492 2008 3962 1192 
 215.974 2046 4286 1140 
 218.497 2676 4340 1492 
 219.494 2427 4299 2279 
 217.499 2379 4244 1254 
 220.497 127 4597 2303 
 221.988 2624 4531 2455 
 217.499 2688 4411 2394 
 220.497 2393 4209 2127 
 221.988 2277 4649 2185 
 218.497 177 4548 2265 
 215.974 123 4564 2313 
 217.997 2332 4274 2238 
 219.995 114 4363 2235 
 216.492 190 4628 2251 
 218.497 129 4365 2274 
 217.997 116 4502 2324 
 218.497 122 4557 2481 
 218.997 115 4613 2507 
 215.974 2428 4631 2493 
 216.99 2322 4550 2388 
 219.995 117 4404 1062 
 218.997 2298 4249 2226 
 215.974 2236 4364 2276 
 217.997 2387 4460 2371 
 2207 4522 2497 
 218.497 2532 4654 2606 
 219.494 158 4691 2606 
 217.997 141 4717 2719 
 217.997 2499 4606 2679 
 218.997 117 4653 2731 
 216.99 115 4982 1615 
 125 4834 2969 
 423.995 175 4805 3030 
 218.997 124 4775 2976 
 221.494 174 4883 3001 
 221.988 170 4818 2832 
 218.497 181 4880 1449 
 219.494 2731 4850 2913 
 218.997 378 4955 2967 
 218.497 126 4816 2965 
 217.997 2035 4983 3019 
 219.995 2062 4938 2759 
 222.492 156 4670 2693 
 221.988 139 4676 2586 
 217.997 198 4548 2534 
 225.999 164 4680 2403 
 219.494 8386 5386 3008 
 224.975 2078 5515 3293 
 219.494 1837 5521 3450 
 223.986 1990 5605 3570 
 219.494 116 5665 3587 
 217.997 2032 5700 3534 
 215.974 17300 5605 3596 
 220.497 2232 5561 3588 
 217.499 119 5697 3660 
 216.99 136 5956 3643 
 217.499 2055 5920 3962 
 218.997 2209 5809 3872 
 217.997 122 5868 3819 
 219.494 2023 5891 3848 
 218.997 1958 6009 3952 
 219.494 2258 5972 4055 
 224.975 1978 5908 3973 
 216.99 2209 6017 3846 
 218.997 2232 5937 3882 
 219.494 2194 5947 3860 
 215.974 114 5912 3873 
 218.497 2188 5843 3874 
 216.99 2115 5936 3914 
 218.997 1916 6073 3867 
 218.497 2066 6195 4046 
 217.997 2351 6169 4101 
 2364 6072 4068 
 217.997 2502 6081 3900 
 218.497 2400 5889 3962 
 219.995 2502 5885 3799 
 221.494 2666 5729 3828 
 221.494 117 6009 3761 
 219.494 2491 5997 3796 
 220.497 2206 6160 4015 
 221.494 120 6502 4209 
 219.995 2280 6498 4664 
 219.494 2576 6404 4636 
 219.494 112 6217 4371 
 218.497 2680 5933 4144 
 217.499 2277 5544 3777 
 216.99 2642 5419 3564 
 218.497 148 5251 3326 
 217.997 136 5149 3203 
 219.995 132 5251 3118 
 218.997 193 4848 3001 
 220.995 2387 5084 2871 
 221.494 171 5108 2900 
 219.494 119 5100 2768 
 2408 5047 2816 
 218.997 2630 4958 2751 
 217.997 2649 4947 2699 
 216.492 2804 4960 2724 
 218.997 2565 4819 2499 
 217.997 2706 4801 2543 
 219.494 2332 4860 2422 
 220.995 2377 4790 2456 
 216.99 2568 4646 2238 
 218.497 2634 4495 2272 
 218.497 2497 4627 2136 
 218.497 115 4592 2118 
 220.497 118 4620 2078 
 219.494 127 4578 2043 
 216.99 2501 4584 1025 
 219.995 2676 4585 2050 
 218.497 289 4786 1450 
 217.997 351 4712 2129 
 219.494 2476 4696 2160 
 216.492 2349 4576 698 
 218.997 137 4573 1075 
 216.99 304 4506 817 
 218.497 2363 4586 1327 
 216.99 137 4695 1389 
 221.988 116 4615 741 
 216.99 192 4482 1089 
 217.499 2483 4251 751 
 219.494 1915 4269 877 
 220.497 2144 4180 1161 
 219.494 2306 4305 1323 
 217.499 2320 4253 618 
 219.995 2222 4497 932 
 218.997 2489 4613 767 
 218.497 240 4248 779 
 217.997 2261 4519 1988 
 217.997 2724 4386 1046 
 222.997 2397 4532 1377 
 219.995 2481 4736 1811 
 217.997 277 4559 2263 
 216.492 2485 4273 2061 
 221.494 2392 4565 1391 
 220.995 2388 4463 1245 
 218.997 2400 4148 833 
 219.995 2053 4325 649 
 218.997 112 4160 947 
 220.497 2140 4166 759 
 217.997 2597 4394 1318 
 220.497 149 4392 2220 
 216.492 2384 4293 1387 
 217.997 2267 4341 2231 
 217.997 2345 4431 1163 
 216.99 215 4187 880 
 217.499 2201 4099 897 
 1619 4048 367 
 216.492 2170 3965 1207 
 215.49 2340 4270 1910 
 218.497 2909 4334 1481 
 219.494 2530 4260 2259 
 217.499 2464 4234 1751 
 220.497 116 4636 2302 
 222.492 2668 4552 2451 
 217.997 2699 4415 2397 
 220.497 2457 4211 2132 
 221.988 2349 4427 2176 
 218.497 162 4551 2267 
 215.974 123 4560 2321 
 217.997 2285 4290 2201 
 219.995 2352 4360 2246 
 216.492 182 4633 2254 
 218.497 131 4355 2256 
 217.997 114 4449 2330 
 217.997 122 4543 2473 
 218.997 114 4626 2490 
 215.974 2370 4639 2494 
 216.492 2236 4580 2380 
 219.995 127 4368 1061 
 219.494 2235 4284 2221 
 215.974 2215 4347 2282 
 218.497 2374 4444 1782 
 219.995 2169 4507 2356 
 218.497 2490 4619 2632 
 219.494 154 4711 2612 
 217.499 147 4725 2707 
 217.997 2550 4614 2652 
 218.997 118 4650 2727 
 168 4970 1611 
 219.494 129 4843 2955 
 423.995 180 4817 3003 
 218.997 125 4756 2972 
 221.494 145 4861 2993 
 221.988 168 4908 2816 
 217.997 185 4852 1409 
 218.997 2673 4886 2906 
 218.497 381 4969 2968 
 218.997 122 4809 2946 
 218.497 2025 4964 3007 
 219.995 2119 4932 2765 
 222.997 152 4710 2668 
 221.988 133 4700 2582 
 217.997 204 4572 2528 
 225.999 164 4659 2404 
 219.494 118 5385 3028 
 224.975 2397 5571 3283 
 220.497 2080 5512 3445 
 223.986 2217 5630 3559 
 219.494 115 5662 3583 
 217.997 119 5690 3529 
 215.974 17460 5599 3612 
 220.497 2456 5559 3584 
 217.499 116 5702 3667 
 216.99 138 5939 3650 
 217.499 2163 5923 3970 
 218.997 2362 5822 3870 
 217.997 123 5872 3829 
 219.494 2137 5922 3830 
 218.997 2036 6015 3958 
 218.997 2223 5960 4039 
 224.488 2104 5908 3978 
 216.99 111 6045 3854 
 218.997 2229 5935 3875 
 219.494 2210 5962 3854 
 215.974 113 5901 3871 
 218.497 2176 5858 3878 
 216.99 2071 5959 3907 
 218.997 1858 6105 3874 
 218.497 2016 6186 4066 
 217.997 2304 6133 4099 
 219.995 1003 6030 4059 
 217.997 2277 6029 3906 
 218.497 2176 5838 3954 
 219.995 2153 5893 3790 
 221.494 2348 5749 3812 
 221.988 113 6040 3782 
 218.997 2048 6013 3793 
 220.497 1770 6152 4032 
 221.494 118 6552 4209 
 219.995 1883 6519 4673 
 219.494 2233 6385 4645 
 219.494 114 6200 4386 
 218.497 2232 5891 4125 
 217.499 1877 5542 3752 
 217.499 2249 5370 3557 
 218.497 146 5242 3331 
 217.997 2179 5158 3199 
 219.995 132 5221 3123 
 218.997 175 4844 2983 
 220.995 2317 4908 2872 
 221.494 167 4889 2907 
 219.494 114 5086 2775 
 2425 5057 2807 
 218.997 2644 4955 2744 
 217.997 2756 4951 2663 
 216.492 2937 4987 2733 
 218.997 2652 4840 2488 
 217.997 2903 4803 2521 
 219.494 148 4871 2414 
 220.995 2497 4766 2469 
 216.99 2711 4671 2243 
 218.497 2823 4516 2261 
 218.497 2734 4612 2133 
 218.497 2801 4577 1483 
 219.995 2995 4599 2068 
 219.494 127 4558 2043 
 216.99 2751 4560 1032 
 220.497 3000 4569 1861 
 218.497 147 4740 1422 
 217.997 166 4737 2130 
 220.995 2746 4664 2171 
 216.492 2673 4565 2039 
 218.997 140 4592 1065 
 216.99 300 4514 817 
 218.997 2584 4584 1321 
 216.99 2574 4719 1373 
 221.988 118 4663 740 
 216.99 190 4479 1095 
 217.499 2639 4235 764 
 219.494 2044 4350 883 
 220.497 2274 4216 1167 
 219.494 2354 4302 805 
 217.499 2251 4226 619 
 219.995 2214 4493 935 
 218.997 2349 4419 777 
 218.497 247 4334 780 
 218.497 2231 4491 1971 
 217.997 2585 4385 1044 
 222.997 2213 4546 1377 
 219.995 2309 4713 2254 
 217.997 282 4514 1303 
 216.492 2359 4285 2059 
 221.494 2308 4554 1381 
 220.995 2210 4317 1241 
 218.997 2282 4153 829 
 219.995 1884 4201 652 
 218.997 2086 4154 948 
 220.497 1959 4182 762 
 217.997 2367 4371 1312 
 220.497 158 4313 1849 
 216.492 2255 4342 1500 
 217.997 2119 4335 2229 
 217.997 2216 4408 1163 
 216.99 216 4184 868 
 217.499 2101 4127 895 
 1627 4035 366 
 216.492 2155 3956 1179 
 215.974 2226 4290 1918 
 218.497 2892 4348 1483 
 219.494 2519 4287 2267 
 217.499 2528 4285 2116 
 220.497 118 4645 1815 
 221.988 2817 4548 2466 
 217.499 2922 4407 2402 
 220.497 2633 4192 2126 
 221.988 2505 4669 2199 
 218.497 155 4503 2277 
 215.974 122 4554 2307 
 217.997 2672 4259 2240 
 219.995 113 4347 2239 
 216.492 215 4628 2247 
 218.497 132 4354 2274 
 217.997 114 4451 2333 
 218.497 119 4542 2485 
 219.494 118 4630 2500 
 215.974 2596 4511 2498 
 216.99 2449 4561 2389 
 219.995 2493 4408 1060 
 218.997 2385 4263 2219 
 216.492 2372 4348 2273 
 217.997 2538 4475 1795 
 219.995 2242 4510 2484 
 218.497 2614 4629 2637 
 219.494 156 4716 2628 
 217.997 137 4710 2703 
 217.997 2521 4596 2653 
 218.997 116 4652 2734 
 216.99 113 4968 1613 
 218.997 126 4834 2975 
 423.995 181 4793 3029 
 218.497 128 4789 2971 
 221.494 170 4881 3007 
 221.988 178 4820 2848 
 218.497 183 4903 1429 
 218.997 2491 4803 2043 
 218.997 389 4935 2958 
 218.497 123 4816 2945 
 218.497 1811 4975 3022 
 219.995 1910 4940 2745 
 222.997 156 4669 2701 
 221.494 132 4689 2581 
 217.997 196 4554 2549 
 225.999 167 4678 2399 
 219.494 13416 5376 3021 
 224.488 2092 5517 3290 
 219.494 1832 5527 3433 
 223.986 1974 5608 3566 
 219.494 119 5654 3583 
 217.997 2150 5709 3548 
 215.974 17372 5627 3593 
 220.497 2293 5560 3584 
 217.997 1099 5708 3655 
 216.99 136 5954 3634 
 217.499 2059 5919 3968 
 218.997 2215 5820 3887 
 217.997 129 5879 3827 
 219.494 2091 5920 3840 
 219.494 1937 5998 3951 
 218.997 2206 5957 4039 
 224.975 2157 5941 3962 
 216.492 2301 6039 3864 
 218.997 2329 5922 3872 
 219.494 2298 5962 3857 
 215.974 119 5910 3862 
 218.497 2189 5854 3884 
 216.99 2094 5923 3944 
 218.997 2016 6110 3868 
 218.497 137 6206 4063 
 217.997 2482 6130 4090 
 219.995 2363 6053 4053 
 217.997 2506 6158 3893 
 218.497 2366 5852 3944 
 219.995 2354 5883 3769 
 221.494 2576 5755 3806 
 221.494 113 6021 3751 
 219.494 2274 6004 3797 
 220.497 1963 6167 4023 
 221.494 117 6561 4202 
 219.995 1999 6525 4655 
 219.494 2323 6382 4636 
 219.494 111 6210 4354 
 218.497 2419 5903 4133 
 217.499 2039 5549 3772 
 216.99 2360 5392 3563 
 218.497 154 5269 3342 
 217.997 2197 5161 3201 
 219.995 133 5228 3115 
 218.997 136 4828 2977 
 221.494 2280 4916 2867 
 221.494 169 5097 2913 
 219.494 118 5101 2786 
 217.499 2305 5040 2819 
 218.997 2504 4966 2748 
 217.997 2580 4943 2643 
 216.492 2727 4984 2728 
 218.997 2480 4814 2481 
 217.997 2629 4791 2504 
 219.494 150 4866 2420 
 220.995 2288 4773 2462 
 216.99 2425 4644 2252 
 218.497 2481 4481 2271 
 218.997 2378 4602 2137 
 218.497 115 4592 2111 
 219.995 113 4598 2074 
 219.494 124 4562 2056 
 216.99 2555 4549 1025 
 219.995 2880 4572 2035 
 218.497 122 4743 1436 
 217.997 361 4740 2122 
 219.494 2765 4655 2172 
 216.99 2661 4559 2014 
 218.997 135 4607 1072 
 216.99 303 4505 813 
 218.497 2683 4592 1329 
 216.99 2657 4703 1372 
 221.988 116 4652 739 
 216.99 204 4462 1087 
 217.499 2833 4345 748 
 219.494 2278 4243 886 
 220.497 2457 4197 1153 
 219.494 2650 4242 1304 
 217.499 2519 4209 614 
 219.995 2484 4392 933 
 218.997 2655 4628 772 
 218.497 246 4243 777 
 218.497 2489 4517 1440 
 218.497 2863 4376 1033 
 222.997 2531 4544 1369 
 219.995 2634 4730 2258 
 217.997 271 4559 2259 
 216.492 2564 4266 1339 
 221.494 2470 4574 1381 
 220.497 2460 4507 1229 
 218.997 2500 4153 819 
 219.995 1974 4339 654 
 218.997 114 4164 958 
 220.497 2091 4172 758 
 217.997 2456 4389 1312 
 220.497 1813 4388 1300 
 216.492 2209 4293 1501 
 217.997 2093 4330 2209 
 217.997 2175 4429 1179 
 216.99 220 4186 883 
 217.499 1944 4112 911 
 219.995 1618 4051 380 
 216.492 1953 3943 1190 
