radius area area area 
 216.492 2224 4310 1523 
 217.997 2078 4352 2223 
 217.997 2174 4448 2070 
 216.99 220 4199 896 
 217.499 1993 4108 911 
 219.995 1615 4093 389 
 216.492 1943 3966 1204 
 215.974 2011 4305 1139 
 218.497 2643 4344 1514 
 219.494 2365 4336 2282 
 217.499 2240 4277 2118 
 220.497 114 4653 2293 
 221.988 2624 4550 2482 
 217.499 2594 4418 2408 
 220.497 2340 4233 2134 
 221.988 2280 4665 2199 
 218.497 194 4553 2270 
 216.492 122 4570 2307 
 217.997 2275 4297 2235 
 219.995 2347 4351 2252 
 216.492 191 4643 2245 
 217.997 127 4378 2277 
 217.997 117 4473 2315 
 217.997 120 4551 2481 
 218.997 119 4620 2480 
 215.974 2403 4626 2503 
 216.492 2242 4425 2389 
 219.995 142 4355 1101 
 219.494 2223 4267 2225 
 215.974 2192 4360 2286 
 217.997 2360 4478 2370 
 219.995 2173 4540 2507 
 218.497 2550 4651 2618 
 219.494 157 4711 2605 
 217.499 152 4667 2715 
 217.997 2558 4603 2677 
 219.494 121 4633 2746 
 216.99 111 4975 1610 
 219.494 129 4859 2972 
 425 180 4831 3039 
 218.497 126 4760 2977 
 221.494 169 4886 2965 
 173 4872 2849 
 218.497 189 4876 2942 
 219.494 2705 4847 2022 
 218.997 388 4970 2986 
 218.497 128 4824 2948 
 217.997 2167 4978 3010 
 220.497 111 4927 2777 
 222.997 151 4680 2697 
 221.988 131 4676 2595 
 217.997 205 4548 2549 
 225.999 2371 4697 2400 
 219.494 117 5392 2999 
 224.488 2142 5507 3267 
 222.997 1912 5512 3415 
 223.986 2075 5613 3563 
 219.494 119 5653 3583 
 217.997 113 5681 3519 
 215.974 17315 5618 3592 
 220.497 2302 5557 3588 
 217.997 118 5697 3664 
 216.99 136 5969 3651 
 217.499 2052 5910 3976 
 218.997 2202 5820 3861 
 217.997 129 5875 3832 
 219.494 2042 5920 3862 
 218.997 1952 6029 3968 
 218.997 2227 5971 4048 
 224.975 2076 5944 3974 
 216.492 2230 6056 3848 
 218.997 2205 5923 3867 
 219.995 2182 5981 3860 
 215.974 111 5923 3863 
 218.497 2186 5857 3862 
 217.499 2081 5940 3923 
 218.997 1894 6083 3882 
 218.497 135 6198 4054 
 217.997 2378 6179 4099 
 219.995 2295 6056 4052 
 217.997 2477 6201 3916 
 218.497 2337 5871 3964 
 219.995 2391 5912 3809 
 221.494 2575 5759 3807 
 221.988 112 6022 3770 
 219.494 2361 5902 3803 
 219.995 2070 6315 4041 
 221.494 119 6528 4221 
 219.995 2234 6539 4689 
 219.494 2534 6393 4659 
 219.494 115 6231 4394 
 218.497 2689 5957 4162 
 217.499 2322 5600 3783 
 217.499 2676 5416 3593 
 218.497 150 5279 3377 
 217.997 125 5163 3200 
 219.995 130 5269 3136 
 218.997 204 4839 2986 
 220.995 2525 4965 2874 
 221.494 163 4884 2910 
 219.494 117 5110 2804 
 217.499 2530 5078 2828 
 217.997 2707 4953 2755 
 217.997 2718 4987 2692 
 216.492 2920 4993 2729 
 218.997 2603 4810 2502 
 217.997 2773 4803 2549 
 219.494 144 4860 2405 
 220.995 2367 4787 2461 
 216.492 2505 4663 2232 
 218.497 2603 4514 2269 
 218.497 2492 4627 2155 
 218.497 115 4603 2166 
 220.497 112 4612 2063 
 219.494 123 4586 2043 
