radius area area area 
 218.997 158 4216 797 
 218.497 2116 4392 1859 
 218.497 2509 4385 2172 
 223.986 2123 4564 1356 
 219.995 2335 4684 1042 
 217.997 270 4468 2241 
 216.492 2282 4283 2052 
 221.494 2318 4554 1359 
 220.497 2277 4496 1268 
 218.997 2271 4149 813 
 219.995 1852 4309 749 
 218.997 112 4142 1027 
 220.497 1969 4340 1881 
 217.997 2398 4376 1264 
 220.497 150 4339 1442 
 216.492 2266 4310 1500 
 217.997 2124 4336 2206 
 217.997 2275 4389 2054 
 216.99 220 4179 894 
 217.499 2144 4114 909 
 219.995 1617 4034 371 
 216.492 2192 3956 1165 
 215.49 2270 4434 1890 
 218.497 2866 4327 1495 
 219.494 2578 4251 2245 
 217.499 2592 4244 1747 
 220.497 117 4623 1804 
 222.492 2887 4543 2482 
 217.499 2933 4410 2428 
 220.497 2685 4191 2148 
 221.988 2526 4643 
 218.497 156 4518 1294 
 215.974 129 4550 2289 
 217.997 2639 4286 2211 
 219.995 2544 4338 2245 
 216.492 209 4651 2231 
 217.997 126 4376 2259 
 217.997 113 4495 2320 
 218.497 120 4546 2456 
 219.494 114 4612 2501 
 215.974 2558 4643 2502 
 216.99 2396 4556 2380 
 219.995 2285 2357 
 218.997 2353 4266 1847 
 215.974 2317 4347 2287 
 217.997 2433 4456 1805 
 2220 4493 2359 
 218.497 2559 4632 2588 
 219.494 156 4718 2627 
 217.499 147 4687 2711 
 217.997 2487 4597 2645 
 219.494 4648 2700 
 216.99 4813 1627 
 115 4831 2948 
 425 181 4788 2985 
 218.997 124 4788 2936 
 222.492 146 4870 2999 
 221.988 176 4840 2829 
 218.497 184 4909 1442 
 218.997 2532 4810 
 218.997 382 4940 2990 
 218.997 123 4812 2959 
 217.997 1880 4986 2971 
 220.497 112 4938 2774 
 222.492 160 4662 2694 
 221.988 143 4657 2544 
 217.997 207 4565 2526 
 225.999 2312 4671 2450 
 219.494 13566 5384 3006 
 224.488 2077 5550 3282 
 219.995 1903 5534 3479 
 2073 5595 3510 
 114 5686 3566 
 219.494 2186 5700 3545 
 215.974 2086 5636 3562 
 220.995 2333 5551 3628 
 217.997 1113 5733 3683 
 216.99 136 5942 3682 
 217.499 2104 5909 3970 
 218.997 2251 5808 3859 
 217.997 121 5919 3829 
 219.494 2085 5900 3864 
 219.494 1946 6023 3977 
 219.494 2199 5953 4042 
 224.975 2172 5906 3986 
 216.99 2401 5997 3872 
 218.997 2400 5931 3897 
 219.995 2351 5941 3825 
 215.974 111 5905 3865 
 218.497 2192 5867 3906 
 216.99 17809 5903 3925 
 219.494 2010 6091 3867 
 218.497 2061 6180 4030 
 217.997 2405 6122 4093 
 219.995 121 6068 4066 
 217.997 2418 6033 3902 
 217.997 2281 5825 3922 
 219.995 2334 5892 3789 
 221.494 2505 5738 3835 
 2337 6050 3765 
 219.494 2243 5907 3836 
 219.995 1962 6334 4003 
 124 6508 4207 
 219.995 1989 6513 4667 
 218.997 2344 6337 4662 
 219.494 2596 6174 4370 
 218.497 2392 5876 4146 
 217.499 1998 5560 3761 
 216.99 2326 5398 3587 
 218.497 147 5263 3313 
 218.497 2145 5127 3186 
 219.995 127 5214 3104 
 218.997 128 4819 3028 
 220.995 2252 5077 2832 
 221.494 166 5095 2892 
 219.494 114 5103 2765 
 217.997 2356 5069 2797 
 218.997 2537 5002 2721 
 217.997 2540 4922 2661 
 216.492 2583 4953 2702 
 218.997 2420 4802 2507 
 217.997 2623 4794 2520 
 219.494 144 4825 2420 
 220.497 2257 4814 2466 
 216.99 115 4636 2232 
 218.497 2611 4525 2235 
 218.497 2556 4613 2126 
 218.497 111 4574 2114 
 220.497 2848 4601 2075 
 219.494 120 4597 2058 
 216.99 2613 4556 876 
 220.497 2917 4558 1856 
 218.497 147 4746 1500 
 217.997 168 4719 2132 
 220.995 2806 4654 2136 
 216.99 2775 4558 1987 
 219.494 141 4583 947 
 216.99 309 4505 808 
 218.497 2751 4556 1349 
 216.99 2747 4727 1410 
 221.988 114 4635 1173 
 216.99 192 4404 904 
 216.99 2798 4224 762 
 219.494 2261 4251 663 
 219.995 2456 4163 1092 
 219.494 2640 4217 761 
 217.499 2493 4226 598 
 219.995 2443 4373 1053 
 218.997 2635 4605 723 
 218.997 241 4359 791 
 217.997 2458 4529 1868 
 217.997 2835 4363 2175 
 223.485 2473 4521 1356 
 219.995 2595 4716 1809 
 217.997 279 4473 2227 
 216.492 2476 4274 1370 
 221.494 2443 4561 1361 
 220.995 2345 4528 1279 
 218.997 2378 4145 822 
 219.995 1984 4298 757 
 218.997 113 4127 1023 
