radius area area area 
 219.995 2345 6083 4047 
 1181 5996 4017 
 217.997 2490 6006 3853 
 218.497 2379 5780 3861 
 219.995 2478 5830 3709 
 222.492 2642 5687 3764 
 221.988 2605 5771 3695 
 219.494 2449 5821 3763 
 219.995 2091 6263 3927 
 221.494 113 6397 4070 
 219.995 2244 6254 4355 
 219.995 2486 6021 4211 
 219.995 115 5869 3948 
 218.497 2636 5655 3733 
 217.997 2213 5409 3454 
 216.99 2600 5284 3294 
 218.497 145 5053 3095 
 217.997 130 4943 3020 
 219.995 135 5098 2963 
 218.997 195 4706 2901 
 221.494 2360 4988 2754 
 221.494 174 4984 2781 
 219.995 128 4993 2658 
 217.499 2384 4996 2686 
 217.997 2613 4946 2650 
 217.997 2668 4879 2581 
 216.492 2778 4906 2653 
 218.997 2546 4769 2428 
 217.997 2715 4753 2466 
 219.494 171 4817 2381 
 220.995 2373 4751 2433 
 216.99 113 4602 2175 
 218.497 2588 4409 2157 
 218.997 2451 4541 
 218.997 120 4537 2045 
 220.497 114 4559 2033 
 219.494 126 4512 1988 
 216.99 2519 4524 
 218.997 2689 4486 1786 
 218.497 276 4719 1431 
 217.997 372 4659 2079 
 220.995 2468 4614 2070 
 216.99 2332 4491 1944 
 218.997 143 4561 1043 
 216.99 315 4439 759 
 218.497 2384 1232 
 217.499 2301 4498 1358 
 221.988 117 4627 1095 
 216.99 187 4319 822 
 217.499 2419 4241 708 
 219.494 1938 4232 625 
 220.497 2162 4085 1025 
 219.995 2364 4174 731 
 217.499 2304 4058 556 
 219.995 4348 959 
 219.494 4462 672 
 218.997 2451 4146 737 
 218.997 2225 4402 1337 
 217.997 2673 4225 972 
 224.488 2395 4352 1223 
 219.995 2482 4515 977 
 217.997 283 4261 816 
 216.492 2448 4108 1239 
 221.494 2351 4411 1266 
 221.988 2354 4355 1171 
 218.997 2372 3969 755 
 219.995 2030 4176 675 
 219.995 113 3974 946 
 220.497 2068 4180 655 
 217.997 2543 4202 1146 
 220.995 162 4076 1149 
 216.492 2374 4083 1370 
 217.997 2242 4350 2022 
 114 4217 1051 
 228 3976 757 
 2187 4108 857 
 218.497 1573 3915 348 
 219.995 2116 3852 1091 
 216.492 2248 4158 720 
 218.497 2833 4239 1409 
 219.494 2461 4236 1297 
 217.499 2427 4156 1652 
 220.497 120 4577 1739 
 222.492 2658 4443 2392 
 217.997 2694 4374 2350 
 220.497 2417 4121 2070 
 221.988 2340 4573 2082 
 218.497 154 4506 2206 
 215.974 121 4505 2226 
 217.997 2305 4283 2138 
 219.995 4272 2147 
 216.492 192 4614 2145 
 217.997 127 4340 2182 
 217.997 114 4445 2283 
 218.497 121 4504 2417 
 219.494 1943 4567 2429 
 215.974 2336 4623 2403 
 216.492 2210 4481 2295 
 219.995 2041 4301 2258 
 219.494 2197 4201 1775 
 216.492 2168 4278 2164 
 218.497 2287 4369 1709 
 221.494 2136 4422 2224 
 219.995 2438 4744 2500 
 219.494 160 4655 2521 
 222.492 252 4605 2627 
 217.997 2441 4520 2605 
 217.499 128 4559 2592 
 216.99 118 4872 2732 
 219.494 130 4734 2795 
 423.497 122 4683 2851 
 218.997 131 4682 2799 
 222.492 183 4732 2806 
 221.494 111 4708 2691 
 217.997 190 4769 2789 
 218.997 2624 4756 1981 
 218.997 394 4836 2868 
 218.997 135 4719 2875 
 218.497 1965 4913 2864 
 219.995 2082 4856 2681 
 223.485 157 4623 2634 
 221.988 123 4569 2498 
 218.497 203 4481 2461 
 225.999 2514 4584 2403 
 219.494 8604 5318 2925 
 224.975 2376 5484 3214 
 224.488 2058 5474 3382 
 223.986 2170 5594 3454 
 219.494 124 5643 3510 
 217.997 123 5647 3469 
 215.974 120 5565 3498 
 220.995 2456 5458 3504 
 217.997 1079 5600 3573 
 216.99 128 5880 3583 
 217.499 2159 5854 3882 
 219.494 113 5745 3782 
 217.997 130 5773 3747 
 219.494 2149 5827 3777 
 219.494 2021 5988 3897 
 219.494 2221 5922 3972 
 224.975 2072 5890 3931 
 216.99 2294 5970 3831 
 218.997 2247 5878 3854 
 219.494 2189 5907 3780 
 215.974 130 5847 3817 
 218.497 119 5796 3845 
 216.99 17656 5858 3836 
 218.997 1877 6040 3817 
 218.497 2006 6098 3982 
 219.995 2266 6066 4028 
 221.494 985 6020 4013 
 217.997 2352 5975 3876 
 218.497 2197 5791 3878 
 219.995 2189 5802 3693 
 221.988 2360 5694 3767 
 221.494 2187 5996 3708 
 219.494 2071 5952 3767 
 219.995 1819 6252 3940 
 221.494 121 6401 4080 
 219.995 1886 6264 4384 
 219.995 2135 5978 4258 
 219.995 118 5880 3968 
 218.497 2193 5643 3696 
 217.997 1850 5328 3448 
 217.499 2247 5196 3312 
 218.497 162 5085 3095 
 217.997 2135 4946 3016 
 219.995 134 5114 2941 
 218.997 178 4708 2888 
 221.494 2260 4981 2753 
 221.494 182 4756 2764 
 219.494 126 4968 2645 
 2411 4968 2677 
 217.997 2657 4963 2635 
 218.497 2779 4879 2582 
 216.492 2910 4921 2642 
 218.997 2639 4765 2446 
 217.997 2910 4750 2433 
 219.494 156 4842 2379 
 220.497 2462 4766 2411 
 216.99 114 4585 2175 
 218.497 2777 4425 2161 
 218.497 2687 4519 2043 
 218.497 2775 4524 2031 
 220.497 2999 4557 2000 
 219.494 122 4516 2003 
 216.99 2773 4515 844 
 218.997 3003 4479 1795 
 218.497 130 4694 1107 
 217.997 357 4673 2081 
 220.995 2745 4614 2078 
 216.99 2655 4498 1935 
 218.997 143 4546 1030 
 216.99 322 4423 758 
 218.497 2563 4479 1243 
 216.99 2532 4631 1366 
 221.988 112 4534 1088 
 216.99 193 4308 821 
 217.499 2545 4222 712 
 219.494 2052 4159 625 
 220.497 2262 4065 804 
 219.494 2329 4149 735 
 217.499 2242 4067 554 
