radius area area area 
 218.997 2322 4356 713 
 218.997 244 4189 780 
 218.497 2207 4490 1411 
 218.497 2595 4346 1015 
 223.986 2329 4483 1301 
 219.995 2390 4618 1759 
 217.997 273 4436 878 
 216.492 2418 4223 1325 
 221.494 2342 4507 1318 
 220.497 2326 4443 1240 
 218.997 2353 4074 787 
 219.995 1953 4243 727 
 218.997 2184 4098 987 
 220.497 2027 4110 1017 
 217.997 2477 4322 1225 
 220.995 160 4250 1761 
 216.492 2357 4211 1449 
 218.497 2236 4265 2146 
 217.997 2336 4359 1127 
 216.99 221 4139 860 
 217.499 2185 4059 898 
 219.995 1606 4007 365 
 216.492 2187 3913 1147 
 215.974 2264 4237 1881 
 218.497 2921 4280 1466 
 219.494 2559 4243 2212 
 217.499 2595 4185 2070 
 220.497 114 4615 2254 
 222.492 2863 4514 
 218.497 2934 4380 2454 
 220.497 2600 4171 2127 
 221.988 2469 4615 2130 
 218.497 159 4549 2259 
 215.974 122 4543 2274 
 217.997 2421 4278 
 219.995 2474 4340 2223 
 216.492 191 4643 2219 
 217.997 127 4357 2243 
 217.997 115 4468 2317 
 218.497 116 4514 2458 
 218.997 111 2480 
 215.974 2422 4636 2461 
 216.492 2208 4364 2368 
 219.995 2071 2330 
 219.494 2200 4278 1831 
 216.492 2210 4315 2237 
 218.497 2338 4435 1776 
 219.995 2197 4480 2328 
 218.497 4712 2566 
 219.494 4694 2609 
 217.997 159 4688 2699 
 217.997 154 4579 2647 
 217.499 2537 4628 2669 
 216.99 115 4964 2794 
 219.995 131 4794 2878 
 423.995 167 4750 2951 
 218.997 128 4767 2910 
 222.492 148 4832 2957 
 172 4788 2798 
 217.997 181 4837 2917 
 219.494 2561 4818 2037 
 218.997 385 4926 2959 
 218.997 125 4791 2951 
 217.997 1969 4972 2966 
 220.497 2052 4915 2763 
 222.997 155 4652 2708 
 221.494 131 4637 2533 
 218.497 204 4538 2516 
 225.494 170 4653 2439 
 8610 5366 2974 
 224.488 2331 5527 3279 
 2006 5520 3449 
 223.485 2154 5613 3493 
 219.494 117 5677 3560 
 115 5685 3519 
 215.974 12364 5596 3543 
 220.497 2446 5558 3599 
 217.499 118 5696 3657 
 216.99 135 5938 3658 
 217.499 2144 5890 3978 
 218.997 2337 5790 3828 
 217.997 125 5857 3796 
 219.494 2161 5880 3835 
 219.494 2035 6027 3955 
 219.494 2250 5957 4031 
 224.975 2152 5907 3974 
 216.99 2398 5997 3858 
 218.997 2350 5912 3883 
 219.494 2305 5932 3811 
 215.49 122 5883 3853 
 218.497 2194 5847 3902 
 216.99 17824 5917 3898 
 218.997 1900 6086 3859 
 218.497 136 6145 4019 
 219.995 2344 6093 4073 
 219.995 124 6043 4043 
 217.997 2418 6003 3906 
 218.497 2265 5840 3933 
 219.995 2239 5881 3758 
 221.494 2396 5738 3822 
 221.988 2228 5899 3748 
 219.494 2082 6006 3804 
 219.494 1853 6308 4009 
 221.494 119 6507 4187 
 219.995 1870 6461 4615 
 219.494 2223 6299 4581 
 219.494 112 6159 4280 
 218.497 2279 5873 4040 
 217.499 1822 5511 3703 
 216.99 2187 5350 3533 
 218.497 154 5204 3234 
 217.997 2027 5098 3159 
 219.995 129 5194 3096 
 218.997 2034 4906 2989 
 221.494 2124 5065 2824 
 221.494 167 5059 2873 
 219.494 114 5082 2756 
 217.499 2327 5035 2784 
 217.499 2611 4982 2718 
 217.997 2702 4911 2631 
 216.99 2693 4969 2684 
 218.997 2601 4805 2484 
 217.997 2765 4790 2491 
 219.494 153 4863 2403 
 220.497 2425 4792 2447 
 216.99 2626 4634 2215 
 218.497 2747 4496 2222 
 218.497 2619 4601 2103 
 218.497 119 4557 2085 
 220.497 2933 4597 2064 
 219.494 123 4568 2047 
 216.99 2797 4566 871 
 218.497 3075 4514 2021 
 218.497 121 4720 1468 
 217.997 357 4719 2129 
 220.497 2878 4638 2120 
 216.99 2703 4524 1985 
 219.494 143 4577 1065 
 216.99 302 4481 791 
 218.497 2624 4523 1340 
 216.99 2680 4701 1392 
 221.988 114 4599 1133 
 216.99 195 4392 874 
 217.997 2729 4255 741 
 219.494 2225 4215 642 
 220.497 2377 4121 1059 
 219.494 2519 4254 755 
 217.499 2436 4181 581 
 219.995 2335 4415 1018 
 219.494 2456 4551 705 
 218.997 248 4198 780 
 218.497 2248 4495 1819 
 217.997 2639 4341 1013 
 223.986 2358 4460 1301 
 219.995 2416 4630 1015 
 217.997 279 4286 2147 
 216.492 2451 4357 1309 
 221.494 2343 4480 1331 
 220.995 2279 4469 1234 
 218.997 2298 4069 792 
 219.995 1884 4268 732 
 219.494 113 4090 976 
 220.497 1973 4273 1013 
 217.997 2410 4346 1224 
 220.497 161 4261 1752 
 216.492 2266 4213 1431 
 217.997 2139 4275 2146 
 217.997 2267 4330 1994 
 216.99 220 4139 850 
 217.499 2099 4027 895 
 1617 3982 360 
 216.492 2064 3904 1152 
 215.49 2198 4245 1843 
 218.497 2786 4292 1464 
 219.494 2481 4222 2212 
 217.499 2473 4206 2068 
 220.497 114 4623 1791 
 222.492 2732 4508 2467 
 218.497 2859 4387 2412 
 220.497 2567 4164 2128 
 221.988 2441 4647 1278 
 218.497 156 4509 2264 
 215.974 123 4539 2271 
 217.997 2523 4249 2190 
 219.995 2548 4309 2218 
 215.974 211 4619 2204 
 217.997 124 4357 2227 
 217.997 117 4478 2313 
 218.497 120 4534 2437 
 218.997 112 4609 2480 
 215.974 2579 4611 2468 
 216.492 2470 4535 2359 
 219.995 2164 4332 2322 
 219.494 2377 4263 2212 
 215.974 2363 4325 2230 
 218.497 2465 4442 1780 
 219.494 2202 4477 2453 
 218.497 2616 4730 2586 
 219.494 158 4688 2605 
 218.497 149 4667 2705 
 217.997 2603 4577 2631 
 217.499 123 4636 2668 
 216.99 112 4827 2797 
 131 4830 2898 
 423.995 169 4771 2931 
 218.997 126 4767 2903 
 222.492 142 4850 2955 
 221.988 183 4785 2795 
 217.997 182 4889 1422 
 219.494 2513 4784 2906 
 218.497 389 4927 2970 
 218.997 126 4768 2943 
 217.997 1793 4968 2951 
 219.995 114 4931 2756 
 222.997 157 4661 2664 
 221.494 130 4651 2546 
 217.997 210 4520 2486 
 225.999 168 4646 2429 
 219.494 8288 5395 2959 
 224.488 2014 5535 3278 
 223.986 1720 5506 3453 
 223.986 1972 5594 3503 
 219.494 120 5673 3557 
 217.997 2077 5676 3520 
 215.974 17263 5618 3550 
 220.497 2295 5530 3600 
 217.499 1109 5665 3661 
 216.99 131 5933 3673 
 217.499 1994 5914 3953 
 218.997 2177 5801 3829 
 217.997 113 5838 3808 
 219.494 2019 5855 3858 
 219.494 1881 6025 3979 
 218.997 2192 5939 4031 
 224.975 2007 5879 3970 
 216.99 114 6030 3862 
 218.997 2286 5904 3888 
 219.494 2276 5934 3810 
 215.974 124 5877 3843 
 218.497 2167 5819 3917 
 17787 5936 3907 
 218.997 2035 6080 3855 
 218.497 139 6167 4019 
 217.997 2488 6118 4083 
 219.995 122 6041 4032 
 217.997 2641 6042 3911 
 218.497 2445 5854 3913 
 219.995 2489 5859 3752 
 221.494 2661 5717 3820 
 221.988 2551 5992 3745 
 219.494 2363 5885 3814 
 219.494 2110 6299 3991 
 221.494 112 6505 4190 
 219.995 2069 6469 4624 
 218.997 2411 6314 4571 
 219.494 116 6155 4287 
 218.497 2441 5856 4036 
 217.499 2087 5519 3711 
 217.499 2455 5347 3527 
 218.497 153 5227 3257 
 217.997 2208 5110 3150 
 219.995 130 5193 3063 
 218.997 163 4780 2989 
 220.995 2321 5082 2820 
 221.494 168 5052 2873 
 219.494 118 5081 2752 
 217.499 2347 5051 2777 
 217.997 2584 4981 2711 
 217.997 2623 4914 2630 
 216.492 2771 4933 2692 
 218.997 2506 4796 2513 
 217.997 2631 4776 2475 
 219.494 148 4851 2413 
 220.995 2280 4780 2440 
 216.99 2525 4624 2200 
 218.497 2490 4484 2219 
 218.497 2294 4608 2091 
 218.497 118 4571 2096 
 220.497 111 4593 2059 
 219.494 122 4564 2046 
 216.99 2462 4591 876 
 218.997 2673 4540 1847 
 218.497 237 4736 1477 
 217.997 167 4715 2116 
 220.995 2653 4649 2123 
 217.499 2474 4545 1997 
 218.997 140 4562 948 
 216.99 301 4480 793 
 218.497 2620 4531 1296 
 216.99 2575 4696 1398 
 221.988 113 4593 1137 
 216.99 207 4409 1058 
 217.997 2683 4272 756 
 219.494 2189 4201 639 
 219.995 2434 4124 1065 
 219.494 2591 4291 751 
 217.499 2497 4187 584 
 219.995 2391 4468 1024 
 218.997 2645 4539 707 
 218.997 245 4206 778 
 218.497 2449 4465 1637 
 218.497 2808 4323 1017 
 224.488 2529 4455 1300 
 219.995 2641 4644 1765 
 217.997 281 4441 879 
 216.492 2546 4224 1315 
 221.494 2519 4501 1333 
