radius area area area 
 223.485 2503 4497 1349 
 219.995 2640 4719 1789 
 217.997 276 4506 2244 
 216.492 2561 4272 1351 
 221.494 2512 4559 1349 
 220.995 2483 4491 1232 
 218.997 2504 4131 805 
 220.497 2056 4313 756 
 218.997 2279 4129 971 
 220.497 2152 4165 1686 
 217.997 2513 4384 1278 
 220.497 153 4297 2192 
 216.492 2275 4257 1385 
 217.997 2150 4317 2204 
 217.997 2264 4369 1150 
 216.99 217 4182 891 
 217.499 2009 4100 927 
 219.995 1601 4091 389 
 216.492 1994 3939 1158 
 215.974 2001 4409 1925 
 218.497 2606 4343 1498 
 219.494 2280 4311 2257 
 217.499 2211 4239 2109 
 220.497 115 4642 2304 
 222.492 2533 4511 2492 
 217.499 2524 4396 2390 
 220.497 2260 4187 2155 
 221.988 2175 4620 2168 
 218.497 161 4582 2277 
 215.974 123 4554 2304 
 217.997 2232 4300 2213 
 219.995 2257 4365 2244 
 216.492 173 4663 2239 
 218.497 132 4385 2278 
 217.997 114 4476 2323 
 218.497 117 4537 2488 
 219.494 114 4637 2480 
 215.974 2325 4694 2475 
 216.99 2243 4382 2375 
 219.995 2266 4438 2358 
 219.494 2210 4282 1854 
 215.974 2156 4351 2269 
 218.497 2346 4458 1797 
 219.995 2171 4491 2358 
 218.497 2445 4632 2594 
 219.494 155 4700 2617 
 217.499 148 4702 2718 
 217.997 2607 4584 2663 
 219.494 119 4645 2708 
 216.99 1987 4946 1622 
 219.494 132 4863 2940 
 423.995 174 4813 2992 
 218.997 127 4742 2948 
 222.492 170 4839 2992 
 221.494 173 4877 2830 
 218.497 184 4891 1424 
 2705 4842 2941 
 218.997 385 4957 2997 
 218.997 125 4821 2958 
 217.997 2203 4963 3002 
 220.497 112 4909 2748 
 222.997 158 4681 2694 
 221.494 132 4634 2568 
 217.997 199 4534 2516 
 225.999 163 4661 2429 
 219.494 118 5386 2996 
 224.488 2238 5528 3297 
 1923 5512 3456 
 223.986 2107 5598 3529 
 219.494 118 5676 3581 
 217.997 120 5687 3538 
 215.974 12273 5631 3555 
 220.497 2372 5554 3627 
 217.997 1130 5724 3678 
 216.99 129 5957 3687 
 217.499 2127 5916 3977 
 218.997 2251 5804 3883 
 217.997 126 5907 3832 
 219.494 2071 5905 3846 
 219.494 1884 6005 3965 
 219.494 2167 5958 4053 
 224.975 2008 5909 3988 
 216.99 112 6033 3886 
 218.997 2219 5922 3921 
 219.494 2183 5957 3861 
 215.974 112 5910 3863 
 218.497 2187 5838 3890 
 216.99 2090 5949 3908 
 219.494 1881 6085 3885 
 218.497 2003 6189 4048 
 217.997 2374 6123 4101 
 219.995 2282 6053 4076 
 2392 6016 3917 
 218.497 2291 5873 3952 
 219.995 2334 5863 3782 
 2481 5725 3834 
 221.988 112 6037 3759 
 219.494 2307 6000 3822 
 219.995 2088 6317 4009 
 221.494 123 6531 4217 
 219.995 2128 6510 4648 
 219.494 2479 6395 4637 
 219.995 114 6212 4355 
 218.497 2602 5922 4150 
 217.499 2211 5542 3760 
 216.99 2652 5462 3575 
 218.497 153 5229 3321 
 217.997 130 5114 3172 
 219.995 128 5214 3109 
 218.997 206 4984 3009 
 221.494 2554 5092 2835 
 221.494 160 5116 2888 
 219.494 116 5083 2761 
 2499 5030 2818 
 217.997 2817 4987 2727 
 217.997 2842 4945 2642 
 216.492 3065 4976 2716 
 218.997 2673 4799 2478 
 217.997 2873 4785 2538 
 219.494 146 4847 2428 
 220.995 2525 4807 1691 
 216.99 2635 4627 2238 
 218.497 2654 4484 2240 
 218.497 2510 4633 2161 
 218.497 117 4601 2135 
 219.995 116 4615 2072 
 219.494 122 4578 2033 
 216.99 2497 4579 1033 
 219.995 2776 4582 2058 
 218.497 205 4763 1458 
 217.997 169 4697 2125 
 220.995 2604 4680 2151 
 216.99 2480 4564 1992 
 218.997 138 4602 1089 
 216.99 311 4529 823 
 218.497 2320 4598 1316 
 217.499 134 4680 1416 
 221.988 115 4587 747 
 216.99 200 4456 1101 
 217.499 2384 4314 775 
 219.494 1801 4340 864 
 220.497 2070 4180 1171 
 219.995 2151 4245 784 
 217.499 2042 4209 614 
 219.995 2036 4493 1041 
 219.494 2243 4401 745 
 218.497 163 4203 784 
 217.997 2101 4518 1843 
 218.497 2462 4375 1031 
 223.986 2149 4537 1350 
 219.995 2372 4693 2252 
 217.997 279 4463 2241 
 216.492 2346 4238 1334 
 221.494 2320 4531 1364 
 220.497 2281 4516 1228 
 218.997 2223 4126 808 
 219.995 1825 4309 743 
 218.997 2138 4122 997 
 220.497 1982 4146 717 
 217.997 2434 4386 1289 
 220.497 156 4308 1814 
 216.492 2227 4289 1237 
 217.997 2125 4306 2211 
 217.997 2267 4380 1152 
 216.99 217 4175 874 
 217.499 2143 4238 922 
 219.995 1611 4030 372 
 216.492 2234 3937 1178 
 215.974 2292 4244 1896 
 218.497 2912 4310 1491 
 219.494 2541 4247 2250 
 217.499 2575 4227 1754 
 220.497 135 4624 1807 
 222.492 2871 4532 2475 
 217.499 2995 4397 2397 
 220.497 2672 4151 2149 
 221.988 2542 4649 2160 
 218.497 155 4533 2251 
 215.974 119 4545 2314 
 217.997 2556 4268 2212 
 219.995 2510 4331 2228 
 215.974 201 4642 2244 
 217.997 127 4367 2279 
 217.997 115 4491 2335 
 218.497 122 4553 2492 
 218.997 115 4613 2479 
 215.974 2451 4673 2483 
 216.492 2371 4555 2371 
 219.995 2372 4431 2346 
 219.494 2334 4242 1854 
 216.492 2248 4333 2270 
 218.497 2407 4451 1805 
 219.995 2164 4475 2482 
 218.497 2495 4619 2621 
 219.494 157 4706 2616 
 217.499 149 4686 2704 
 217.997 2468 4579 2654 
 219.494 2241 4646 2724 
 216.99 131 4945 1640 
 131 4828 2931 
 423.995 172 4792 3002 
 218.997 123 4782 2937 
 222.492 142 4837 2998 
 221.494 173 4846 2834 
 218.497 184 4891 1430 
 218.997 2620 4818 2930 
 218.997 387 4924 2995 
 218.997 124 4805 2968 
 217.997 1877 4979 3013 
 219.995 2002 4922 2743 
 222.997 155 4642 2697 
 221.988 141 4650 2571 
 218.497 201 4544 2529 
 225.999 2341 4653 2429 
 219.494 111 5391 3001 
 224.488 2135 5496 3282 
 1909 5506 3470 
 223.986 2122 5620 3529 
 219.494 112 5662 3592 
 217.997 117 5677 3544 
 215.974 17370 5632 3569 
 220.995 2388 5554 3615 
 217.997 115 5687 3658 
 216.99 135 5964 3684 
