radius area area area 
 217.997 131 5881 3794 
 219.494 2029 5879 3831 
 219.494 1938 6016 3940 
 219.494 2208 5951 4032 
 224.975 2032 5882 3969 
 216.99 2253 5988 3869 
 218.997 2237 5920 3893 
 219.494 2164 5932 3827 
 215.974 124 5885 3846 
 218.497 2165 5841 3891 
 216.99 2095 5916 3901 
 218.997 1906 6093 3861 
 218.497 2069 6168 4019 
 217.997 2429 6117 4088 
 219.995 1156 6052 4068 
 217.997 2525 6171 3896 
 218.497 2394 5872 3926 
 219.995 2459 5857 3778 
 221.494 2618 5735 3828 
 221.988 2584 5973 3750 
 219.494 2432 5887 3792 
 219.494 2143 6310 4007 
 221.494 116 6496 4178 
 219.995 2248 6498 4610 
 219.494 2574 6341 4597 
 219.995 116 6165 4274 
 218.497 2692 5909 4051 
 217.499 2304 5511 3711 
 217.499 2653 5372 3499 
 218.497 148 5387 3283 
 218.497 135 5094 3171 
 219.995 136 5216 3078 
 218.997 195 4827 2999 
 220.995 2443 5050 2831 
 221.494 168 5068 
 219.494 119 5066 2867 
 217.499 2446 5045 
 217.997 2657 4975 2781 
 218.497 2644 4896 2650 
 216.492 2838 4949 2696 
 218.997 2513 4811 2474 
 217.997 2728 4786 2517 
 219.494 156 4836 2414 
 220.497 2383 4798 2478 
 216.99 116 4621 2225 
 218.497 2580 4479 2238 
 218.497 2503 4611 2105 
 218.497 113 4584 2097 
 220.497 114 2063 
 219.494 118 4572 2023 
 216.99 2563 4582 875 
 218.497 2797 4570 1856 
 218.497 235 4749 1460 
 217.997 355 4681 2123 
 220.497 2531 4677 2132 
 217.499 2386 4526 1994 
 218.997 142 4595 954 
 216.99 4464 805 
 218.497 2371 4543 1291 
 216.99 137 4673 1403 
 221.988 114 4570 1138 
 216.99 195 4435 1058 
 217.499 2378 4297 740 
 219.494 1863 4205 830 
 220.497 2074 4158 1134 
 219.494 2267 4244 755 
 217.499 2209 4168 586 
 219.995 2127 4450 1025 
 219.494 2346 4573 717 
 218.997 245 4275 786 
 217.997 2264 4498 1814 
 218.497 2617 4342 1014 
 223.986 2373 4468 1310 
 2444 2219 
 219.995 281 4458 2167 
 2427 4230 2011 
 217.997 2408 4511 1334 
 216.492 2359 4460 1253 
 220.995 2388 4081 804 
 220.497 1978 4276 721 
 218.997 2196 4094 994 
 220.497 2064 4114 1643 
 217.997 2516 4335 1237 
 220.497 162 4240 1755 
 216.492 2352 4250 1450 
 218.497 2246 4266 2147 
 217.997 2348 4336 1143 
 216.99 223 4125 862 
 217.499 2225 4057 903 
 219.494 1629 4013 374 
 216.492 2233 3908 1159 
 215.49 2300 4233 1867 
 218.497 2906 4288 1461 
 219.494 2536 4279 2207 
 217.499 2574 4215 2077 
 220.497 119 4548 2277 
 222.492 2737 4510 2474 
 218.497 2791 4416 2404 
 220.497 2485 4191 2126 
 221.988 2383 4632 2142 
 218.497 157 4548 2256 
 215.974 122 4567 2270 
 217.997 2374 4276 2196 
 219.995 2377 4336 2219 
 215.974 201 4634 2210 
 217.997 127 4361 2248 
 217.997 114 4459 2312 
 218.497 118 4539 2465 
 218.997 111 4599 2472 
 215.974 2369 4652 2462 
 216.99 2208 4547 2358 
 219.995 2047 4324 2322 
 219.494 2224 4275 1827 
 216.492 2220 4344 2254 
 218.497 2336 4443 1781 
 219.995 2202 4464 2335 
 218.497 2518 4613 2574 
 219.494 158 4702 2588 
 217.997 140 4690 2700 
 217.997 2494 4553 2660 
 217.997 113 4618 2678 
 216.99 120 4949 2812 
 129 4795 2902 
 423.995 172 4767 2955 
 218.997 127 4733 2932 
 222.492 144 4880 2959 
 221.988 177 4842 2793 
 218.497 184 4863 2923 
 218.997 2606 4861 2031 
 218.997 384 4924 2977 
 218.997 167 4794 2979 
 217.997 1980 4982 2980 
 219.995 2056 4907 2778 
 222.997 156 4667 2724 
 221.494 132 4639 2541 
 217.997 205 4532 2525 
 225.494 2537 4671 2454 
 219.494 19088 5373 2982 
 224.488 2373 5540 3286 
 223.485 1999 5529 3463 
 224.488 2241 5611 3496 
 219.494 119 5655 3555 
 217.997 118 5674 3528 
 215.974 12370 5604 3536 
 220.497 2516 5558 3602 
 217.997 124 5701 3672 
 216.99 129 5954 3660 
 217.499 2155 5916 3961 
 218.997 2323 5819 3845 
 217.997 131 5853 3801 
 219.494 2150 5872 3838 
 219.494 2037 6000 3960 
 219.494 2261 5953 4026 
 224.975 2095 5900 3979 
 216.99 113 6020 3870 
 218.997 2312 5932 3903 
 219.494 2291 5932 3837 
 215.974 122 5903 3849 
 218.497 2189 5834 3897 
 216.99 17822 5906 3889 
 219.494 1895 6092 3874 
 218.497 2027 6157 4018 
 219.995 2318 6105 4085 
 219.995 1041 6031 4055 
 217.997 2362 6005 3916 
 218.497 2170 5809 3921 
 219.995 2196 5856 3772 
 221.494 2372 5742 3815 
 221.494 2194 6046 3752 
 218.997 2079 6005 3804 
 219.494 1838 6312 4001 
 221.494 119 6370 4197 
 219.995 1886 6499 4617 
 219.494 2233 6302 4583 
 219.995 115 6122 4283 
 218.497 2216 5845 4063 
 217.499 1823 5482 3712 
 216.99 2233 5380 3525 
 218.497 153 5244 3270 
 218.497 2087 5107 3163 
 219.995 129 5211 3094 
 218.997 116 4798 2999 
 221.494 2225 5067 2833 
 221.494 168 4868 2861 
 219.494 124 5090 2748 
 217.499 2363 5017 2786 
 217.499 2594 5002 2723 
 218.497 2725 4928 2635 
 216.492 2868 4957 2702 
 218.997 2565 4784 2491 
 217.997 2852 4779 2493 
 219.494 155 4858 2399 
 220.995 2455 4765 2440 
 216.99 2677 4630 2203 
 218.497 2796 4497 2226 
 218.497 2709 4581 2092 
 218.497 2724 4564 2105 
 220.497 2975 4601 2060 
 219.494 124 4561 2036 
 216.99 2778 4550 866 
 218.997 3080 4531 2025 
 218.497 127 4729 1484 
 217.997 362 4718 2126 
 219.494 2839 4637 2128 
 217.499 2675 4532 2011 
 219.494 138 4571 1064 
 216.99 298 4479 795 
 218.997 2711 4518 1343 
 216.99 2680 4689 1382 
 221.988 113 4610 1144 
 216.99 201 4433 884 
 217.499 2653 4278 739 
 219.494 2135 4286 648 
 220.497 2348 4125 1067 
 219.494 2446 4256 759 
 217.499 2324 4151 594 
 219.995 2284 4471 1019 
 218.997 2409 4584 714 
 218.997 245 4186 788 
 218.497 2258 4490 1813 
 218.497 2649 4349 1007 
 223.986 2345 4490 1311 
 219.995 2396 4634 1022 
 217.997 275 4418 2164 
 216.492 2410 4217 1334 
 221.494 2290 4506 1336 
 220.497 2221 4448 1245 
 218.997 2278 4078 785 
 219.995 1870 4235 736 
 219.494 2057 4086 987 
 220.497 1975 4107 1805 
 217.997 2407 4328 1240 
 220.497 148 4249 2120 
 216.492 2235 4200 1452 
 218.497 2099 4278 2153 
 217.997 2256 4336 1997 
 217.499 225 4149 855 
 217.499 2093 4045 889 
 219.995 1606 4002 353 
 216.492 2133 3924 1142 
 215.974 2181 4399 738 
 218.497 2803 4278 1472 
 219.494 2482 4256 2208 
 217.499 2490 4186 1725 
 220.497 115 4609 1791 
 222.492 2784 4477 2464 
 217.997 2897 4389 2423 
 220.497 2584 4139 2133 
 221.988 2480 4437 1279 
 218.497 160 4508 2251 
 215.974 121 4555 2286 
 217.997 2585 4256 2193 
 219.995 111 4302 2226 
 216.492 209 4609 2218 
 217.997 124 4362 2233 
 217.997 116 4466 2312 
 218.497 125 4535 2442 
 218.997 112 4587 2481 
 215.974 2613 4481 2468 
 216.492 2492 4547 2355 
 219.995 2225 4332 2324 
 219.494 2338 4259 2211 
 216.492 2362 4329 2242 
 218.497 2542 4437 1783 
 219.995 2224 4462 2348 
 218.497 2585 4650 2580 
 219.494 164 4682 2605 
 217.997 148 4678 2701 
 217.997 2532 4581 2644 
 217.499 117 4642 2678 
 216.99 117 4973 1610 
 219.494 128 4841 2932 
 423.995 176 4781 2948 
 218.997 129 4779 2900 
 221.988 176 4869 2939 
 221.494 179 4802 2810 
 217.997 185 4887 1431 
 218.997 2482 4809 2906 
 218.997 392 4917 2971 
 218.497 129 4757 2952 
 217.997 1838 4976 2971 
 219.995 111 4914 2766 
 222.997 154 4646 2668 
 221.494 129 4651 2549 
 217.997 196 4527 2484 
 223.485 169 4632 2431 
 219.494 13357 5390 2971 
 224.975 2046 5521 3292 
 223.485 1739 5519 3450 
 223.986 1982 5591 3496 
 219.494 117 5675 3568 
 217.997 2176 5692 3514 
 215.974 111 5626 3545 
 220.497 2259 5535 3596 
 217.499 113 5698 3684 
 216.99 131 5939 3657 
 217.499 2046 5911 3950 
 218.997 2222 5797 3848 
 217.997 112 5837 3788 
 219.494 2077 5876 3845 
 219.494 1906 6002 3963 
 218.997 2209 5945 4026 
 224.975 2119 5905 3970 
 216.99 112 6018 3869 
 218.997 2314 5909 3886 
 219.494 2290 5930 3817 
 215.974 121 5886 3839 
 218.497 112 5826 3887 
 216.99 2097 5948 3883 
 218.997 2076 6079 3865 
 218.497 2261 6184 4012 
 217.997 2555 6106 4080 
 219.995 2445 6037 4055 
 217.997 2571 6164 3904 
 218.497 2448 5848 3922 
 219.995 2442 5848 3766 
 221.494 2683 5725 3824 
 221.494 2519 5993 3753 
 219.494 2336 5965 3812 
 219.494 2046 6292 4003 
 221.494 116 6511 4184 
 219.995 2023 6499 4628 
 218.997 2363 6305 4568 
 219.494 115 6167 4295 
 218.497 2428 5855 4053 
 217.499 2046 5518 3698 
 217.499 2389 5442 3575 
 218.497 151 5236 3272 
 218.497 2206 5108 3147 
 219.995 128 5188 3084 
 218.997 151 4777 2988 
 220.995 2303 5066 2830 
 221.494 163 4852 2873 
 219.494 116 5098 2741 
 217.499 2338 5038 2771 
 217.997 2568 4986 2700 
 217.997 2608 4913 2631 
 216.492 2752 4943 2693 
 218.997 2458 4800 2512 
 218.497 2668 4791 2487 
 219.494 151 4827 2407 
 220.995 2311 4806 2441 
 216.99 117 4626 2202 
 218.497 2452 4478 2240 
 218.497 2316 4598 2098 
 218.997 121 4576 2101 
 220.497 111 4611 2056 
 219.494 124 4572 2037 
 216.99 2519 4583 865 
 218.997 2797 4562 1843 
 218.497 185 4728 1468 
 217.997 348 4720 2127 
 220.995 2708 4636 2121 
 217.499 2561 4526 1996 
 218.997 140 4580 1065 
 216.99 311 4488 794 
 218.497 2699 4542 1339 
 216.99 2614 4689 1395 
 221.988 113 4596 1146 
 216.99 202 4415 876 
 217.499 2737 4270 750 
 219.494 2226 4221 648 
 220.497 2438 4121 952 
 219.494 2630 4195 751 
 217.499 2536 4171 590 
 219.995 2445 4482 1021 
 218.997 2660 4562 712 
 218.997 241 4223 783 
 218.497 2450 4485 1646 
 218.497 2835 4320 2139 
 224.488 2538 4471 1302 
 219.995 2675 4671 1018 
 217.997 285 4439 2185 
 216.492 2572 4216 1333 
 221.494 2493 4540 1341 
 220.995 2482 4467 1243 
 218.997 2517 4099 791 
 219.995 2090 4276 734 
 218.997 111 4094 996 
 220.497 2153 4097 1649 
 217.997 2477 4323 1229 
 220.497 158 4269 2101 
 216.492 2237 4218 1449 
 217.997 2081 4267 2132 
 217.997 2240 4341 1135 
 216.99 214 4132 859 
 217.499 2002 4071 914 
 219.995 1605 4045 376 
 216.492 1951 3940 1150 
 215.49 2020 4219 760 
 218.497 2621 4311 1486 
 219.995 2281 4278 2208 
 217.499 2278 4238 1244 
 220.497 113 4644 2270 
 222.492 2537 4525 2472 
 217.997 2524 4412 2386 
 220.497 2300 4180 2144 
 221.988 2172 4604 2139 
 218.497 161 4545 2262 
 215.974 120 4556 2269 
 217.997 2272 4287 2194 
 219.995 2267 4367 2220 
 215.974 172 4655 2224 
 218.497 128 4386 2231 
 217.997 113 4452 2322 
 218.497 114 4534 2463 
 218.997 112 4626 2489 
 215.974 2360 4675 2462 
 216.492 2212 4377 2364 
 219.995 2050 4330 2334 
 219.494 2174 4268 1835 
 216.492 2194 4333 2242 
 218.497 2311 4440 1772 
 220.497 2168 4470 2338 
 218.497 2471 4584 2588 
 219.494 160 4692 2598 
 217.997 148 4686 2725 
 217.997 2538 4572 2645 
 217.499 122 4602 2678 
 216.99 111 4796 2788 
 219.494 130 4822 2913 
 423.995 168 4791 2936 
 218.997 123 4742 2906 
 222.492 144 4856 2967 
 221.988 174 4845 2814 
 217.997 183 4891 1427 
 219.494 2734 4832 2934 
 218.497 388 4940 2956 
 218.997 125 4827 2960 
 218.497 2195 4978 2973 
 219.995 114 4907 2782 
 222.997 156 4646 2697 
 221.494 135 4655 2547 
 217.997 193 4516 2529 
 225.999 156 4656 2438 
 219.494 115 5382 2996 
 224.488 2177 5511 3276 
 221.494 1918 5507 3461 
 224.488 2073 5580 3512 
 219.494 116 5659 3553 
 217.997 120 5679 3527 
 215.974 17341 5608 3552 
 220.497 2355 5543 3622 
 217.499 1112 5708 3645 
 216.99 133 5939 3674 
 217.499 2059 5903 3968 
 218.997 2243 5796 3853 
 217.997 122 5878 3800 
 219.494 2062 5873 3835 
 219.494 1900 6015 3950 
 219.494 2194 5940 4010 
 224.975 2035 5888 3962 
 216.99 113 6005 3899 
 218.997 2222 5921 3892 
 219.494 2174 5929 3824 
 215.974 121 5876 3844 
 218.497 2179 5809 3898 
 216.99 17756 5937 3882 
 218.997 1883 6084 3866 
 218.497 2036 6170 4021 
 217.997 2316 6096 4097 
 219.995 2239 6020 4054 
 217.997 2400 6004 3921 
 218.497 2301 5840 3930 
 219.995 2344 5868 3761 
 221.494 2491 5724 3820 
 221.494 113 5972 3758 
 219.494 2340 5899 3811 
 219.995 2067 6302 4011 
 221.494 119 6522 4186 
 219.995 2160 6503 4617 
 218.997 2514 6336 4566 
 219.494 111 6159 4304 
 218.497 2669 5908 4075 
 217.499 2265 5523 3719 
 216.99 2646 5457 3517 
 218.497 146 5225 3281 
 218.497 132 5107 3148 
 219.995 126 5181 3087 
 218.997 208 4989 3004 
 221.494 2552 4898 2837 
 221.494 168 4840 2873 
 219.494 118 5052 2744 
 217.499 2511 5012 2781 
 217.997 2785 4990 2722 
 217.997 2790 4935 2644 
 216.492 2991 4963 2695 
 218.997 2687 4784 2481 
 217.997 2793 4787 2518 
 219.494 141 4841 2414 
 220.995 2440 4780 2459 
 216.99 2572 4623 2230 
 218.497 2644 4485 2230 
 218.497 2488 4607 2134 
 218.497 118 4577 1508 
 220.497 116 4598 2076 
 219.494 126 4567 2025 
 216.99 2562 4582 881 
 218.997 2804 4570 1871 
 218.497 197 4753 1464 
 217.997 366 4700 2126 
 219.494 2591 4667 2143 
 217.499 2439 4539 1983 
 218.997 142 4606 1072 
 216.99 303 4484 807 
 218.497 2307 4571 1296 
 216.99 130 4663 1401 
 221.988 2247 4576 2004 
 216.99 196 4408 1064 
 217.499 2351 4293 743 
 219.494 1833 4322 646 
 220.497 2087 4149 951 
 219.494 2173 4214 765 
 217.499 2123 4159 586 
 219.995 2035 4457 889 
 218.997 2290 4379 719 
 218.997 240 4191 789 
 218.497 2179 4494 1832 
 218.497 2580 4331 2148 
 223.986 2280 4499 1318 
 219.995 2322 4621 1768 
 217.997 278 4412 880 
 216.492 2388 4224 1340 
 221.494 2284 4510 1340 
 220.497 2298 4478 1250 
 218.997 2312 4076 799 
 219.995 1910 4256 720 
 218.997 114 4093 1002 
 220.497 2001 4277 1812 
 217.997 2435 4323 1233 
 220.497 157 4236 1753 
 216.492 2289 4250 1446 
 217.997 2188 4265 2143 
 217.997 2320 4334 1994 
 216.99 214 4152 871 
 217.499 2203 4039 907 
 219.494 1609 4006 369 
 216.492 2192 3917 1146 
 215.49 2323 4207 747 
 218.497 2907 4278 1468 
 219.494 2504 4234 2198 
 217.499 2607 4208 2070 
 220.497 118 4609 2257 
 222.492 2852 4511 2451 
 218.497 2979 4386 2422 
 220.497 2634 4180 2139 
 221.988 2483 4628 2140 
 218.497 158 4532 2258 
 215.974 119 4554 2283 
 217.997 2454 4276 2194 
 219.995 2523 4323 2228 
 216.492 196 4658 2209 
 217.997 126 4374 2226 
 217.997 112 4475 2312 
 218.497 115 4547 2462 
 218.997 114 4588 2470 
 215.974 2449 4631 2459 
 216.492 2303 4531 2358 
 219.995 2132 4336 2329 
 219.494 2225 4251 1837 
 216.492 2202 4338 2257 
 218.497 2326 4457 1790 
 219.995 2166 4456 2342 
 218.497 2497 4621 2576 
 219.494 156 4690 2603 
 217.997 146 4677 2684 
 217.997 2507 4588 2629 
 217.499 122 4631 2679 
 216.99 113 4952 2798 
 219.995 129 4814 2899 
 423.995 173 4777 2933 
 218.997 129 4761 2915 
 222.492 167 4854 2946 
 221.988 114 4829 2797 
 217.997 182 4879 2914 
 219.494 2573 4797 2938 
 218.997 384 4905 2979 
 218.997 127 4778 2965 
 217.997 1912 4966 2971 
 220.497 112 4925 2763 
 222.997 156 4653 2720 
 221.988 135 4625 2536 
 217.997 203 4519 2520 
 225.999 2347 4637 2437 
 219.494 13584 5364 2982 
 224.488 2254 5511 3272 
 221.494 1974 5523 3455 
 224.488 2135 5620 3492 
 219.494 118 5667 3568 
 218.497 118 5689 3514 
 215.974 113 5602 3535 
 220.497 2462 5552 3623 
 217.997 113 5690 3659 
 216.99 135 5939 3673 
 217.499 2132 5901 3962 
 218.997 2309 5822 3833 
 217.997 125 5848 3827 
 219.494 2141 5888 3832 
 219.494 1975 6035 3921 
 219.494 2212 5978 3994 
 224.975 2138 5916 3987 
 216.99 2365 6002 3851 
 218.997 2298 5922 3880 
 219.494 2269 5943 3817 
 215.49 124 5888 3850 
 218.497 2188 5824 3889 
 216.99 17792 5896 3913 
 218.997 1921 6075 3859 
 218.497 140 6145 4031 
 217.997 2345 6079 4090 
 219.995 132 6039 4067 
 217.997 2427 5998 3923 
 218.497 2250 5818 3911 
 219.995 2285 5875 3785 
 221.494 2429 5729 3830 
 221.988 112 6037 3753 
 218.997 2133 5994 3819 
 219.995 1894 6317 4007 
 221.494 118 6520 4197 
 219.995 1916 6486 4627 
 218.997 2257 6312 4560 
 219.995 116 6144 4286 
 218.497 2295 5880 4047 
 217.499 1904 5517 3723 
 217.499 2334 5345 3527 
 218.497 152 5255 3251 
 217.997 2125 5086 3171 
 219.995 133 5202 3079 
 218.997 2018 4776 2994 
 220.995 2110 4907 2816 
 221.494 160 5073 2867 
 219.494 114 5108 2752 
 2259 5075 2786 
 217.997 2440 4982 2723 
 217.997 2585 4908 2637 
