radius area area area 
 218.497 133 4750 1482 
 217.997 359 4726 2139 
 219.494 2729 4657 2137 
 216.492 2628 4551 2004 
 219.494 138 4583 1069 
 216.99 306 4516 807 
 218.497 2709 4569 1356 
 216.99 2645 4715 1413 
 221.988 115 4634 2036 
 216.99 193 4410 916 
 216.99 2800 4241 765 
 219.494 2248 4233 851 
 220.497 2460 4173 979 
 219.494 2698 4320 770 
 217.499 2551 4222 606 
 219.995 2492 4379 914 
 218.997 2693 4605 732 
 218.997 253 4243 794 
 217.997 2489 4522 1866 
 217.997 2873 4381 2190 
 223.485 2534 4523 1344 
 219.995 2656 4732 1808 
 217.997 279 4498 2254 
 216.492 2570 4284 1382 
 221.494 2530 4573 1364 
 220.497 2461 4565 1254 
 218.997 2497 4150 820 
 220.497 2008 4306 761 
 218.997 2206 4133 1026 
 220.497 2123 4170 1714 
 217.997 2492 4412 1277 
 220.497 158 4367 2185 
 216.492 2227 4274 1516 
 217.997 2088 4341 2209 
 217.997 2199 4432 1189 
 216.99 216 4222 891 
 217.997 1962 4103 927 
 219.995 1637 4081 388 
 216.492 1976 3957 1178 
 215.49 2002 4241 1904 
 218.497 2601 4341 1512 
 219.494 2317 4311 2241 
 217.499 2200 4265 1256 
 220.497 112 4587 2289 
 221.988 2562 4489 2470 
 217.499 2605 4408 2422 
 220.497 2352 4195 2146 
 221.988 2214 4396 2149 
 218.497 161 4556 2269 
 215.974 122 4572 
 217.997 2290 4302 2214 
 219.995 2328 4364 2244 
 216.492 187 4653 2240 
 217.997 131 4401 
 217.997 111 4488 2339 
 218.497 116 4555 2463 
 218.997 112 4638 2492 
 215.974 2408 4702 2480 
 216.492 2272 4393 2390 
 2097 4358 2353 
 219.494 2238 4281 1863 
 215.974 2189 4345 2279 
 217.997 2391 4450 1797 
 219.995 2202 4501 2373 
 218.497 2542 4617 2604 
 219.494 155 4699 2619 
 217.499 148 4696 2724 
 217.997 2561 4580 2657 
 219.494 117 4637 2682 
 216.99 116 4966 2806 
 219.494 4814 2931 
 425 178 2963 
 218.997 127 4779 2927 
 222.492 141 4849 2991 
 221.494 166 4855 2831 
 218.497 178 4879 1452 
 218.997 2745 4843 2942 
 218.997 385 4947 3001 
 218.997 125 4808 2989 
 217.997 2216 5007 2971 
 219.995 2239 4933 2776 
 222.997 155 4654 2733 
 221.494 137 4681 2554 
 217.997 204 4540 2522 
 225.999 170 4656 2458 
 219.494 119 5376 3003 
 224.488 2139 5531 3286 
 219.995 1908 5527 3467 
 224.488 2067 5589 3502 
 219.494 116 5672 3565 
 217.997 2208 5696 3533 
 215.974 17396 5641 3567 
 220.497 2344 5547 3618 
 217.499 113 5722 3652 
 216.99 134 5957 3680 
 217.499 2092 5907 3962 
 218.997 2232 5806 3852 
 217.997 122 5873 3800 
 219.494 2037 5892 3853 
 1920 6037 3962 
 219.494 2223 5944 4032 
 224.975 2081 5918 3989 
 216.99 113 6029 3887 
 218.997 2206 5919 3892 
 219.995 2172 5947 3830 
 215.974 120 5898 3850 
 218.497 2181 5846 3907 
 2088 5923 3900 
 218.997 1913 6089 3867 
 218.497 2021 6167 4027 
 217.997 2327 6140 4093 
 219.995 132 6051 4068 
 217.997 2446 6141 3932 
 218.997 2346 5847 3937 
 219.995 2376 5868 3782 
 221.494 2537 5741 3846 
 221.494 117 6010 3774 
 219.494 2373 5891 3811 
 219.995 2106 6299 4028 
 221.494 117 6379 4204 
 219.995 2182 6517 4663 
 218.997 2536 6409 4653 
 219.494 115 6245 4376 
 218.497 2701 5935 4144 
 217.499 2294 5571 3757 
 217.499 2665 5407 3590 
 218.497 145 5284 3330 
 218.497 133 5129 3211 
 219.995 130 5228 3107 
 218.997 207 4811 3028 
 220.995 2552 5090 2857 
 221.494 164 4881 2882 
 219.494 117 5086 2760 
 217.499 2523 5036 2802 
 217.997 2764 5023 2738 
 217.997 2772 4922 2649 
 216.492 2931 4977 2695 
 218.997 2630 4814 2492 
 217.997 2792 4789 2537 
 219.494 140 4829 2409 
 220.995 2389 4795 2480 
 216.99 115 4642 2241 
 218.497 2659 4473 2258 
 218.497 2497 4613 2132 
 218.497 115 4570 1510 
 220.497 112 4611 2079 
 219.494 121 4585 2026 
 216.99 2540 4598 908 
 219.995 2794 4596 1892 
 218.497 215 4750 1140 
 217.997 369 4690 2127 
 219.494 2581 4677 2143 
 216.99 2461 4551 1997 
 219.494 137 4616 1074 
 216.99 299 4524 821 
 218.497 2345 4576 1309 
 217.499 123 4692 1417 
 221.988 116 4594 774 
 216.99 202 4468 1105 
 216.99 2392 4341 774 
 219.494 1809 4357 851 
 220.497 2063 4182 1165 
 219.494 2211 4277 778 
 217.499 2104 4208 601 
 219.995 2048 4534 1045 
 218.997 2297 4410 729 
 218.997 238 4214 795 
 218.497 2241 4550 1683 
 218.497 2653 4387 2174 
 223.986 2273 4568 1366 
 219.995 2431 4693 1043 
 217.997 275 4353 2250 
 216.492 2426 4272 1378 
 221.494 2342 4581 1360 
 220.497 2336 4529 1277 
 218.997 2340 4161 820 
 219.995 1966 4334 758 
 218.997 114 4145 1043 
 220.497 2016 4181 1702 
 217.997 2476 4403 1278 
 220.497 151 4310 1829 
 216.492 2315 4285 1492 
 217.997 2237 4341 2222 
 217.997 2331 4392 1169 
 216.99 210 4209 893 
 217.499 2192 4100 929 
 219.995 1605 4057 375 
 216.492 2187 3964 1177 
 215.49 2318 4262 1896 
 218.497 2910 4315 1492 
 219.494 2577 4302 2251 
 217.499 2601 4232 2113 
 220.497 112 4615 2291 
 221.988 2885 4517 2495 
 217.499 2992 4397 2431 
 220.497 2642 4190 2156 
 221.988 2477 4641 2155 
 218.497 155 4554 2272 
 215.974 121 4556 2284 
 217.997 2442 4295 2220 
 219.995 112 4352 2255 
 215.974 188 4656 2243 
 217.997 126 4390 2256 
 217.997 117 4495 2334 
 218.497 116 4546 2467 
 218.997 114 4619 2500 
 215.974 2465 4644 2477 
 216.99 2240 4579 2385 
 221.988 2101 4355 2355 
 219.494 2235 4277 2211 
 216.492 2202 4337 2270 
 218.497 2361 4470 1810 
 219.995 2166 4512 2361 
 218.497 2526 4656 2602 
 219.494 161 4722 2637 
 217.499 149 4704 2726 
 217.997 2535 4601 2662 
 219.494 121 4655 2695 
 216.99 112 4815 2815 
 126 4848 2923 
 425 177 4793 2956 
 218.997 127 4789 2946 
 222.492 146 4850 2986 
 221.494 175 4839 2820 
 188 4886 1413 
 218.997 2594 4851 2939 
 218.997 386 4952 3000 
 218.497 128 4810 3001 
 217.997 1949 4999 2996 
 220.497 113 4943 2773 
 222.997 155 4647 2734 
 221.988 136 4672 2552 
 217.997 201 4532 2524 
 225.999 166 4667 2460 
 219.494 13670 5395 3000 
 224.488 2283 5522 3276 
 223.485 1988 5524 3472 
 224.488 2170 5636 3522 
 219.494 118 5697 3575 
 217.997 117 5691 3534 
 215.974 17431 5634 3549 
 220.497 2486 5570 3618 
 217.997 122 5700 3672 
 216.99 134 5940 3678 
 217.499 2170 5909 3976 
 218.997 2350 5816 3856 
 217.997 118 5872 3832 
 219.494 2167 5880 3839 
 219.494 2066 6034 3972 
 218.997 2241 5983 4018 
 224.975 2145 5919 3978 
 216.99 2363 5995 3880 
 218.997 2315 5936 3881 
 219.494 2278 5952 3841 
 215.974 127 5912 3885 
 218.497 2192 5846 3914 
 216.99 2081 5916 3935 
 218.997 1934 6100 3880 
 218.497 140 6191 4024 
 217.997 2375 6135 4097 
 219.995 132 6052 4067 
 217.997 2413 6013 3907 
 218.497 2259 5849 3939 
 219.995 2284 5919 3781 
 221.494 2410 5734 3845 
 221.494 116 6059 3766 
 219.494 2144 6001 3823 
 219.995 1902 6160 4015 
 221.494 114 6541 4213 
 219.995 1908 6519 4658 
 218.997 2291 6396 4660 
 219.494 2499 6177 4366 
 218.497 2269 5909 4136 
 217.499 1886 5564 3776 
 216.99 2272 5406 3594 
 218.497 155 5295 3321 
 217.997 2029 5158 3202 
 219.995 127 5221 3106 
 218.997 2029 4812 3009 
 221.494 2099 5115 2859 
 221.494 170 4888 2892 
 219.494 118 5117 2779 
 217.499 2261 5079 2812 
 217.997 2543 5008 2731 
 217.997 2641 4925 2643 
 216.492 2758 4965 2699 
 218.997 2527 4804 2505 
 217.997 2784 4791 2515 
 219.494 2380 4867 2433 
 220.995 2381 4814 2467 
 216.99 2593 4628 2220 
 218.497 2734 4514 2232 
 218.497 2625 4605 2118 
 218.997 116 4584 2118 
 220.497 2872 4596 2067 
 219.494 125 4594 2064 
 216.99 2780 4589 870 
 220.497 3093 4564 1849 
 218.497 143 4744 1487 
 217.997 324 4719 2137 
 220.995 2864 4652 2136 
 216.492 2729 4542 2000 
 219.494 140 4589 1063 
 216.99 298 4506 800 
 218.497 2732 4567 1304 
 216.99 2681 4722 2152 
 221.988 117 4632 1178 
 216.99 190 4469 915 
 216.99 2811 4228 761 
 219.494 2235 4263 864 
 220.497 2442 4170 1091 
 219.494 2565 4297 769 
 217.499 2476 4226 600 
 219.995 2393 4360 1057 
 218.997 2476 4417 733 
 218.997 249 4235 798 
 218.497 2303 4550 1851 
 218.497 2680 4401 2164 
 223.485 2344 4571 1343 
 219.995 2460 4706 1798 
 217.997 282 4461 2245 
 216.492 2489 4272 1374 
 221.494 2384 4570 1371 
 220.497 2312 4538 1262 
 218.997 2295 4155 819 
 219.995 1884 4283 764 
 218.997 112 4147 1037 
 220.497 1991 4185 1708 
 217.997 2381 4428 1274 
 220.497 157 4361 1834 
 216.492 2279 4297 1493 
 217.997 2118 4333 2222 
 217.997 2273 4393 2077 
 216.99 217 4201 910 
 217.499 2071 4097 908 
 219.995 1623 4064 371 
 216.492 2099 3944 1169 
 215.49 2184 4264 749 
 218.497 2757 4329 1485 
 219.494 2430 4298 2246 
 217.499 2406 4245 2106 
 220.497 117 4610 2315 
 222.492 2730 4521 2495 
 217.499 2862 4410 2423 
 220.497 2558 4182 2154 
 221.988 2432 4632 2167 
 218.497 155 4531 2289 
 215.974 123 4559 2302 
 217.997 2494 4266 2225 
 219.995 2533 4329 2230 
 215.974 207 4653 2246 
 217.997 132 4375 2246 
 217.997 111 4501 2323 
 218.497 116 4541 2436 
 218.997 115 4607 2491 
 215.974 2582 4622 2482 
 216.99 2436 4543 2384 
 221.988 2283 4365 2329 
 219.494 2405 4287 2237 
 216.492 2315 4351 2244 
 218.497 2529 4469 2397 
 219.995 2222 4517 2470 
 218.497 2607 4732 2601 
 219.494 155 4702 2632 
 217.499 136 4696 2724 
 217.997 2627 4600 2648 
 219.494 113 4654 2684 
 216.99 2009 4984 2820 
 219.494 125 4831 2935 
 423.995 176 4805 2957 
 218.497 127 4792 2949 
 221.988 148 4877 2976 
